cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20220101,0.6539,"ALABAMA",,,,
02,20220101,1.2298,"ALASKA",,,,
03,20220101,0.8250,"ARIZONA",,,,
04,20220101,0.7111,"ARKANSAS",,,,
05,20220101,1.3029,"CALIFORNIA",,,,
06,20220101,0.9979,"COLORADO",,,,
07,20220101,0.9791,"CONNECTICUT",,,,
10,20220101,0.8128,"FLORIDA",,,,
11,20220101,0.7537,"GEORGIA",,,,
12,20220101,1.2242,"HAWAII",,,,
13,20220101,0.7724,"IDAHO",,,,
14,20220101,0.8401,"ILLINOIS",,,,
15,20220101,0.8594,"INDIANA",,,,
16,20220101,0.8171,"IOWA",,,,
17,20220101,0.7885,"KANSAS",,,,
18,20220101,0.7971,"KENTUCKY",,,,
19,20220101,0.6950,"LOUISIANA",,,,
20,20220101,0.8282,"MAINE",,,,
21,20220101,0.8512,"MARYLAND",,,,
22,20220101,1.3117,"MASSACHUSETTS",,,,
23,20220101,0.8392,"MICHIGAN",,,,
24,20220101,0.9069,"MINNESOTA",,,,
25,20220101,0.7302,"MISSISSIPPI",,,,
26,20220101,0.7696,"MISSOURI",,,,
27,20220101,0.8996,"MONTANA",,,,
28,20220101,0.8661,"NEBRASKA",,,,
29,20220101,1.0430,"NEVADA",,,,
30,20220101,1.0077,"NEW HAMPSHIRE",,,,
32,20220101,0.8753,"NEW MEXICO",,,,
33,20220101,0.8515,"NEW YORK",,,,
34,20220101,0.8020,"NORTH CAROLINA",,,,
35,20220101,0.8461,"NORTH DAKOTA",,,,
36,20220101,0.8095,"OHIO",,,,
37,20220101,0.7767,"OKLAHOMA",,,,
38,20220101,1.0436,"OREGON",,,,
39,20220101,0.8153,"PENNSYLVANIA",,,,
40,20220101,0.5000,"PUERTO RICO",,,,
42,20220101,0.8207,"SOUTH CAROLINA",,,,
43,20220101,0.7874,"SOUTH DAKOTA",,,,
44,20220101,0.7160,"TENNESSEE",,,,
45,20220101,0.8188,"TEXAS",,,,
46,20220101,0.9142,"UTAH",,,,
47,20220101,0.9534,"VERMONT",,,,
48,20220101,0.5509,"VIRGIN ISLANDS",,,,
49,20220101,0.8057,"VIRGINIA",,,,
50,20220101,1.0666,"WASHINGTON",,,,
51,20220101,0.7186,"WEST VIRGINIA",,,,
52,20220101,0.8985,"WISCONSIN",,,,
53,20220101,0.9329,"WYOMING",,,,
64,20220101,0.9611,"AMERICAN SAMOA",,,,
65,20220101,0.9611,"GUAM",,,,
66,20220101,0.9611,"NORTHERN MARIANA ISLANDS",,,,
