code,category
01005,A
01011,A
01013,A
01017,C
01019,A
01023,A
01025,A
01027,C
01029,A
01031,A
01035,A
01037,C
01039,A
01041,A
01043,A
01045,A
01047,C
01049,A
01053,A
01057,A
01059,A
01063,A
01071,A
01075,A
01087,C
01091,A
01093,A
01095,A
01099,A
01105,A
01109,A
01111,C
01119,A
01121,C
01123,A
01127,A
01129,A
01131,A
01133,A
02013,B
02016,B
02050,B
02060,B
02068,B
02070,B
02100,B
02105,B
02110,C
02122,B
02130,B
02150,B
02164,B
02180,B
02185,B
02188,B
02195,B
02198,B
02220,B
02230,B
02240,B
02261,B
02270,B
02275,B
02282,B
02290,B
04001,C
04007,C
04009,C
04011,B
04012,B
04017,C
04023,C
05001,C
05003,C
05005,C
05009,C
05011,A
05013,A
05015,C
05017,C
05019,C
05021,C
05023,C
05027,C
05029,C
05037,A
05039,A
05041,A
05043,A
05047,C
05049,A
05055,C
05057,A
05059,C
05061,A
05063,A
05065,A
05067,C
05071,C
05073,A
05075,C
05077,A
05083,C
05089,C
05093,C
05095,C
05097,C
05099,C
05101,C
05103,C
05107,A
05109,C
05113,A
05115,C
05117,C
05121,A
05123,C
05127,C
05129,A
05133,A
05135,A
05137,A
05139,C
05141,A
05145,C
05147,A
05149,C
06003,B
06005,C
06009,C
06011,C
06015,C
06021,C
06023,C
06027,B
06033,C
06035,C
06043,C
06045,C
06049,B
06051,B
06057,C
06063,C
06091,B
06093,C
06103,C
06105,B
06109,C
08003,C
08007,C
08009,B
08011,B
08015,C
08017,B
08021,C
08023,B
08025,C
08027,B
08029,C
08033,B
08037,C
08043,C
08045,C
08049,C
08051,B
08053,B
08055,B
08057,B
08061,B
08063,B
08065,C
08067,C
08071,B
08073,B
08075,C
08079,B
08081,B
08083,C
08085,C
08087,C
08089,C
08091,C
08095,C
08097,C
08099,C
08103,B
08105,C
08107,C
08109,B
08111,B
08113,B
08115,B
08117,C
08121,B
08125,B
09005,A
12007,A
12013,C
12023,A
12027,A
12029,A
12037,C
12043,A
12045,A
12047,A
12049,A
12051,A
12059,A
12063,C
12067,A
12075,A
12077,A
12079,C
12087,C
12093,A
12107,A
12121,A
12123,C
12125,A
12133,C
13001,C
13003,C
13005,A
13007,A
13009,C
13011,C
13017,C
13019,A
13023,C
13031,C
13037,C
13039,C
13043,C
13049,C
13055,A
13061,C
13065,A
13069,C
13071,C
13075,A
13081,C
13087,C
13091,A
13093,C
13099,A
13105,C
13107,C
13109,C
13111,C
13119,A
13123,C
13125,C
13129,C
13131,C
13133,C
