cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
99901,20230101,0.6621,ALABAMA,,,,
99902,20230101,1.2055,ALASKA,,,,
99903,20230101,0.8594,ARIZONA,,,,
99904,20230101,0.7255,ARKANSAS,,,,
99905,20230101,1.2873,CALIFORNIA,,,,
99906,20230101,1.0297,COLORADO,,,,
99907,20230101,0.9630,CONNECTICUT,,,,
99910,20230101,0.8184,FLORIDA,,,,
99911,20230101,0.7491,GEORGIA,,,,
99912,20230101,1.2310,HAWAII,,,,
99913,20230101,0.7738,IDAHO,,,,
99914,20230101,0.8433,ILLINOIS,,,,
99915,20230101,0.8380,INDIANA,,,,
99916,20230101,0.7954,IOWA,,,,
99917,20230101,0.7956,KANSAS,,,,
99918,20230101,0.7937,KENTUCKY,,,,
99919,20230101,0.6943,LOUISIANA,,,,
99920,20230101,0.8362,MAINE,,,,
99921,20230101,0.8539,MARYLAND,,,,
99922,20230101,1.3264,MASSACHUSETTS,,,,
99923,20230101,0.8255,MICHIGAN,,,,
99924,20230101,0.8968,MINNESOTA,,,,
99925,20230101,0.7209,MISSISSIPPI,,,,
99926,20230101,0.7861,MISSOURI,,,,
99927,20230101,0.8546,MONTANA,,,,
99928,20230101,0.8807,NEBRASKA,,,,
99929,20230101,1.0810,NEVADA,,,,
99930,20230101,1.0293,NEW HAMPSHIRE,,,,
99932,20230101,0.8548,NEW MEXICO,,,,
99933,20230101,0.8445,NEW YORK,,,,
99934,20230101,0.8079,NORTH CAROLINA,,,,
99935,20230101,0.8038,NORTH DAKOTA,,,,
99936,20230101,0.8079,OHIO,,,,
99937,20230101,0.7659,OKLAHOMA,,,,
99938,20230101,1.0393,OREGON,,,,
99939,20230101,0.8108,PENNSYLVANIA,,,,
99940,20230101,0.4047,PUERTO RICO,,,,
99942,20230101,0.8025,SOUTH CAROLINA,,,,
99943,20230101,0.8075,SOUTH DAKOTA,,,,
99944,20230101,0.7221,TENNESSEE,,,,
99945,20230101,0.8372,TEXAS,,,,
99946,20230101,0.8768,UTAH,,,,
99947,20230101,0.9439,VERMONT,,,,
99948,20230101,0.6002,Virgin Islands,,,,
99949,20230101,0.8023,VIRGINIA,,,,
99950,20230101,1.0266,WASHINGTON,,,,
99951,20230101,0.7244,WEST VIRGINIA,,,,
99952,20230101,0.8611,WISCONSIN,,,,
99953,20230101,0.9364,WYOMING,,,,
99965,20230101,0.9611,GUAM,,,,
10180,20230101,0.8527,"Abilene, TX",,,,
10380,20230101,0.2975,"Aguadilla-Isabela, PR",,,,
10420,20230101,0.8351,"Akron, OH",,,,
10500,20230101,0.8627,"Albany, GA",,,,
10540,20230101,1.0720,"Albany, OR",,,,
10580,20230101,0.8037,"Albany-Schenectady-Troy, NY",,,,
10740,20230101,0.9010,"Albuquerque, NM",,,,
10780,20230101,0.8740,"Alexandria, LA",,,,
10900,20230101,0.9489,"Allentown-Bethlehem-Easton, PA-NJ",,,,
11020,20230101,0.8535,"Altoona, PA",,,,
11100,20230101,0.8232,"Amarillo, TX",,,,
11180,20230101,0.8663,"Ames, IA",,,,
11244,20230101,1.2835,"Anaheim-Santa Ana-Irvine, CA",,,,
11260,20230101,1.1938,"Anchorage, AK",,,,
11460,20230101,1.0253,"Ann Arbor, MI",,,,
11500,20230101,0.6647,"Anniston-Oxford-Jacksonville, AL",,,,
11540,20230101,0.9615,"Appleton, WI",,,,
