cbsa,effectiveDate,geographicWageIndex,name,,,,,,
99901,20260101,0.6367,ALABAMA,,,,,,
99902,20260101,1.1274,ALASKA,,,,,,
99903,20260101,0.8539,ARIZONA,,,,,,
99904,20260101,0.7296,ARKANSAS,,,,,,
99905,20260101,1.2775,CALIFORNIA,,,,,,
99906,20260101,1.0501,COLORADO,,,,,,
99907,20260101,0.9140,CONNECTICUT,,,,,,
99908,20260101,1.0095,DELAWARE,,,,,,
99910,20260101,0.8363,FLORIDA,,,,,,
99911,20260101,0.7364,GEORGIA,,,,,,
99912,20260101,1.1312,HAWAII,,,,,,
99913,20260101,0.6858,IDAHO,,,,,,
99914,20260101,0.8743,ILLINOIS,,,,,,
99915,20260101,0.8565,INDIANA,,,,,,
99916,20260101,0.7814,IOWA,,,,,,
99917,20260101,0.8135,KANSAS,,,,,,
99918,20260101,0.8165,KENTUCKY,,,,,,
99919,20260101,0.6946,LOUISIANA,,,,,,
99920,20260101,0.8039,MAINE,,,,,,
99921,20260101,0.8788,MARYLAND,,,,,,
99922,20260101,1.1372,MASSACHUSETTS,,,,,,
99923,20260101,0.8232,MICHIGAN,,,,,,
99924,20260101,0.9037,MINNESOTA,,,,,,
99925,20260101,0.7124,MISSISSIPPI,,,,,,
99926,20260101,0.8016,MISSOURI,,,,,,
99927,20260101,1.1433,MONTANA,,,,,,
99928,20260101,0.8864,NEBRASKA,,,,,,
99929,20260101,1.1108,NEVADA,,,,,,
99930,20260101,1.0138,NEW HAMPSHIRE,,,,,,
99932,20260101,0.9194,NEW MEXICO,,,,,,
99933,20260101,0.8892,NEW YORK,,,,,,
99934,20260101,0.8122,NORTH CAROLINA,,,,,,
99935,20260101,0.8329,NORTH DAKOTA,,,,,,
99936,20260101,0.8032,OHIO,,,,,,
99937,20260101,0.8035,OKLAHOMA,,,,,,
99938,20260101,1.0209,OREGON,,,,,,
99939,20260101,0.8507,PENNSYLVANIA,,,,,,
99940,20260101,0.3653,PUERTO RICO,,,,,,
99942,20260101,0.8184,SOUTH CAROLINA,,,,,,
