code,effectiveDate,weight,threshold
1FC11,20250101,1.0912,4
1FC21,20250101,1.1535,4
1FC31,20250101,1.3028,4
2FC11,20250101,1.2986,3
2FC21,20250101,1.3608,4
2FC31,20250101,1.5101,4
3FC11,20250101,0.7431,2
3FC21,20250101,0.8053,2
3FC31,20250101,0.9546,2
4FC11,20250101,1.2208,3
4FC21,20250101,1.2830,3
4FC31,20250101,1.4323,4
1FA11,20250101,0.8727,3
1FA21,20250101,0.9350,3
1FA31,20250101,1.0843,3
2FA11,20250101,1.0801,3
2FA21,20250101,1.1423,3
2FA31,20250101,1.2916,3
3FA11,20250101,0.5246,2
3FA21,20250101,0.5868,2
3FA31,20250101,0.7361,2
4FA11,20250101,1.0023,2
4FA21,20250101,1.0645,3
4FA31,20250101,1.2138,2
1FB11,20250101,0.9916,4
1FB21,20250101,1.0539,4
1FB31,20250101,1.2032,4
2FB11,20250101,1.1989,3
2FB21,20250101,1.2612,4
2FB31,20250101,1.4105,4
3FB11,20250101,0.6435,2
3FB21,20250101,0.7057,2
3FB31,20250101,0.8550,2
4FB11,20250101,1.1212,3
4FB21,20250101,1.1834,3
4FB31,20250101,1.3327,3
1DC11,20250101,0.9871,2
1DC21,20250101,1.0494,2
1DC31,20250101,1.1987,2
2DC11,20250101,1.1944,3
2DC21,20250101,1.2567,3
2DC31,20250101,1.4060,3
3DC11,20250101,0.6390,2
3DC21,20250101,0.7012,2
3DC31,20250101,0.8505,2
4DC11,20250101,1.1167,2
4DC21,20250101,1.1789,2
4DC31,20250101,1.3282,2
1DA11,20250101,0.8723,2
1DA21,20250101,0.9345,2
1DA31,20250101,1.0838,2
2DA11,20250101,1.0796,3
2DA21,20250101,1.1418,3
2DA31,20250101,1.2911,3
3DA11,20250101,0.5241,2
3DA21,20250101,0.5864,2
3DA31,20250101,0.7357,2
4DA11,20250101,1.0018,2
4DA21,20250101,1.0641,2
4DA31,20250101,1.2134,3
1DB11,20250101,1.0030,2
1DB21,20250101,1.0652,2
1DB31,20250101,1.2145,2
2DB11,20250101,1.2103,3
2DB21,20250101,1.2725,3
2DB31,20250101,1.4218,4
3DB11,20250101,0.6548,2
3DB21,20250101,0.7171,2
3DB31,20250101,0.8664,2
4DB11,20250101,1.1325,3
4DB21,20250101,1.1948,3
4DB31,20250101,1.3441,3
1HC11,20250101,1.1133,4
1HC21,20250101,1.1756,4
1HC31,20250101,1.3249,4
2HC11,20250101,1.3207,4
2HC21,20250101,1.3829,4
2HC31,20250101,1.5322,4
3HC11,20250101,0.7652,2
3HC21,20250101,0.8274,2
3HC31,20250101,0.9767,3
4HC11,20250101,1.2429,3
4HC21,20250101,1.3051,3
4HC31,20250101,1.4544,4
1HA11,20250101,0.9102,4
1HA21,20250101,0.9724,4
1HA31,20250101,1.1217,3
2HA11,20250101,1.1175,3
2HA21,20250101,1.1797,4
2HA31,20250101,1.3290,4
3HA11,20250101,0.5620,2
3HA21,20250101,0.6242,2
3HA31,20250101,0.7735,2
4HA11,20250101,1.0397,3
4HA21,20250101,1.1019,3
4HA31,20250101,1.2512,3
1HB11,20250101,0.9966,4
1HB21,20250101,1.0589,4
1HB31,20250101,1.2082,4
2HB11,20250101,1.2039,4
2HB21,20250101,1.2662,4
2HB31,20250101,1.4155,4
3HB11,20250101,0.6485,2
3HB21,20250101,0.7107,2
3HB31,20250101,0.8600,2
4HB11,20250101,1.1262,3
4HB21,20250101,1.1884,3
4HB31,20250101,1.3377,3
1IC11,20250101,1.3283,4
1IC21,20250101,1.3906,4
1IC31,20250101,1.5399,4
2IC11,20250101,1.5356,4
2IC21,20250101,1.5979,4
2IC31,20250101,1.7472,4
3IC11,20250101,0.9802,3
3IC21,20250101,1.0424,3
3IC31,20250101,1.1917,3
4IC11,20250101,1.4579,4
