cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
10180,20211001,0.8141,0.0000,"Abilene, TX",,,
10380,20211001,0.3602,0.0000,"Aguadilla-Isabela, PR",,,
10420,20211001,0.8480,0.0000,"Akron, OH",,,
10500,20211001,0.8545,0.0000,"Albany, GA",,,
10540,20211001,1.0720,0.0000,"Albany, OR",,,
10580,20211001,0.8248,0.0000,"Albany-Schenectady-Troy, NY",,,
10740,20211001,0.8824,0.0000,"Albuquerque, NM",,,
10780,20211001,0.8661,0.0000,"Alexandria, LA",,,
10900,20211001,0.9551,0.0000,"Allentown-Bethlehem-Easton, PA-NJ",,,
11020,20211001,0.8272,0.0000,"Altoona, PA",,,
11100,20211001,0.8067,0.0000,"Amarillo, TX",,,
11180,20211001,0.9024,0.0000,"Ames, IA",,,
11244,20211001,1.2638,0.0000,"Anaheim-Santa Ana-Irvine, CA",,,
11260,20211001,1.2180,0.0000,"Anchorage, AK",,,
11460,20211001,1.0170,0.0000,"Ann Arbor, MI",,,
11500,20211001,0.8000,0.0000,"Anniston-Oxford-Jacksonville, AL",,,
11540,20211001,0.9441,0.0000,"Appleton, WI",,,
11640,20211001,0.3963,0.0000,"Arecibo, PR",,,
11700,20211001,0.8547,0.0000,"Asheville, NC",,,
12020,20211001,0.9263,0.0000,"Athens-Clarke County, GA",,,
12060,20211001,0.9508,0.0000,"Atlanta-Sandy Springs-Roswell, GA",,,
12100,20211001,1.0802,0.0000,"Atlantic City-Hammonton, NJ",,,
12220,20211001,0.8000,0.0000,"Auburn-Opelika, AL",,,
12260,20211001,0.8631,0.0000,"Augusta-Richmond County, GA-SC",,,
12420,20211001,0.9518,0.0000,"Austin-Round Rock, TX",,,
12540,20211001,1.2066,0.0000,"Bakersfield, CA",,,
12580,20211001,0.9514,0.0000,"Baltimore-Columbia-Towson, MD",,,
12620,20211001,0.9162,0.0000,"Bangor, ME",,,
12700,20211001,1.2098,0.0000,"Barnstable Town, MA",,,
12940,20211001,0.8000,0.0000,"Baton Rouge, LA",,,
12980,20211001,0.9046,0.0000,"Battle Creek, MI",,,
13020,20211001,0.9069,0.0000,"Bay City, MI",,,
13140,20211001,0.8553,0.0000,"Beaumont-Port Arthur, TX",,,
13220,20211001,0.8000,0.0000,"Beckley, WV",,,
13380,20211001,1.2296,0.0000,"Bellingham, WA",,,
13460,20211001,1.1382,0.0000,"Bend-Redmond, OR",,,
13740,20211001,0.9536,0.0000,"Billings, MT",,,
13780,20211001,0.8261,0.0000,"Binghamton, NY",,,
13820,20211001,0.8136,0.0000,"Birmingham-Hoover, AL",,,
13900,20211001,0.8598,0.0000,"Bismarck, ND",,,
13980,20211001,0.8678,0.0000,"Blacksburg-Christiansburg-Radford, VA",,,
14010,20211001,0.9269,0.0000,"Bloomington, IL",,,
14020,20211001,0.9308,0.0000,"Bloomington, IN",,,
14100,20211001,0.9415,0.0000,"Bloomsburg-Berwick, PA",,,
14260,20211001,0.9202,0.0000,"Boise City, ID",,,
14454,20211001,1.2001,0.0000,"Boston, MA",,,
14500,20211001,1.0471,0.0000,"Boulder, CO",,,
14540,20211001,0.8622,0.0000,"Bowling Green, KY",,,
14740,20211001,1.1455,0.0000,"Bremerton-Silverdale, WA",,,
14860,20211001,1.2008,0.0000,"Bridgeport-Stamford-Norwalk, CT",,,
15180,20211001,0.8319,0.0000,"Brownsville-Harlingen, TX",,,
15260,20211001,0.8000,0.0000,"Brunswick, GA",,,
15380,20211001,1.0462,0.0000,"Buffalo-Cheektowaga-Niagara Falls, NY",,,
15500,20211001,0.8689,0.0000,"Burlington, NC",,,
15540,20211001,0.9564,0.0000,"Burlington-South Burlington, VT",,,
15680,20211001,0.8764,0.0000,"California-Lexington Park, MD",,,
15764,20211001,1.0853,0.0000,"Cambridge-Newton-Framingham, MA",,,
15804,20211001,1.0696,0.0000,"Camden, NJ",,,
15940,20211001,0.8000,0.0000,"Canton-Massillon, OH",,,
15980,20211001,0.9226,0.0000,"Cape Coral-Fort Myers, FL",,,
16020,20211001,0.8282,0.0000,"Cape Girardeau, MO-IL",,,
16060,20211001,0.8179,0.0000,"Carbondale-Marion, IL",,,
16180,20211001,1.0159,0.0000,"Carson City, NV",,,
16220,20211001,0.9527,0.0000,"Casper, WY",,,
16300,20211001,0.8656,0.0000,"Cedar Rapids, IA",,,
16540,20211001,1.1058,0.0000,"Chambersburg-Waynesboro, PA",,,
16580,20211001,0.8680,0.0000,"Champaign-Urbana, IL",,,
16620,20211001,0.8212,0.0000,"Charleston, WV",,,
16700,20211001,0.9245,0.0000,"Charleston-North Charleston, SC",,,
16740,20211001,0.9493,0.0000,"Charlotte-Concord-Gastonia, NC-SC",,,
16820,20211001,0.9327,0.0000,"Charlottesville, VA",,,
16860,20211001,0.8553,0.0000,"Chattanooga, TN-GA",,,
16940,20211001,0.8910,0.0000,"Cheyenne, WY",,,
16984,20211001,1.0372,0.0000,"Chicago-Naperville-Evanston, IL",,,
17020,20211001,1.1159,0.0000,"Chico, CA",,,
17140,20211001,0.9424,0.0000,"Cincinnati, OH-KY-IN",,,
17300,20211001,0.8000,0.0000,"Clarksville, TN-KY",,,
17420,20211001,0.8000,0.0000,"Cleveland, TN",,,
17460,20211001,0.8934,0.0000,"Cleveland-Elyria, OH",,,
17660,20211001,0.9162,0.0000,"Coeur d'Alene, ID",,,
17780,20211001,0.8349,0.0000,"College Station-Bryan, TX",,,
17820,20211001,0.9534,0.0000,"Colorado Springs, CO",,,
17860,20211001,0.8555,0.0000,"Columbia, MO",,,
17900,20211001,0.8624,0.0000,"Columbia, SC",,,
17980,20211001,0.8000,0.0000,"Columbus, GA-AL",,,
18020,20211001,1.0187,0.0000,"Columbus, IN",,,
18140,20211001,0.9469,0.0000,"Columbus, OH",,,
18580,20211001,0.9458,0.0000,"Corpus Christi, TX",,,
18700,20211001,1.0875,0.0000,"Corvallis, OR",,,
18880,20211001,0.8887,0.0000,"Crestview-Fort Walton Beach-Destin, FL",,,
19060,20211001,0.9024,0.0000,"Cumberland, MD-WV",,,
19124,20211001,0.9699,0.0000,"Dallas-Plano-Irving, TX",,,
19140,20211001,0.9052,0.0000,"Dalton, GA",,,
19180,20211001,0.9407,0.0000,"Danville, IL",,,
19300,20211001,0.8000,0.0000,"Daphne-Fairhope-Foley, AL",,,
19340,20211001,0.8373,0.0000,"Davenport-Moline-Rock Island, IA-IL",,,
19430,20211001,0.9353,0.0000,"Dayton-Kettering, OH",,,
19460,20211001,0.7760,0.0000,"Decatur, AL",,,
19500,20211001,0.8353,0.0000,"Decatur, IL",,,
19660,20211001,0.8338,0.0000,"Deltona-Daytona Beach-Ormond Beach, FL",,,
19740,20211001,0.9942,0.0000,"Denver-Aurora-Lakewood, CO",,,
19780,20211001,0.8917,0.0000,"Des Moines-West Des Moines, IA",,,
19804,20211001,0.8929,0.0000,"Detroit-Dearborn-Livonia, MI",,,
20020,20211001,0.7881,0.0000,"Dothan, AL",,,
20100,20211001,1.0142,0.0000,"Dover, DE",,,
20220,20211001,0.8558,0.0000,"Dubuque, IA",,,
20260,20211001,0.9748,0.0000,"Duluth, MN-WI",,,
20500,20211001,0.9680,0.0000,"Durham-Chapel Hill, NC",,,
20700,20211001,0.8813,0.0000,"East Stroudsburg, PA",,,
20740,20211001,1.0486,0.0000,"Eau Claire, WI",,,
20940,20211001,0.9147,0.0000,"El Centro, CA",,,
20994,20211001,1.0232,0.0000,"Elgin, IL",,,
21060,20211001,0.8000,0.0000,"Elizabethtown-Fort Knox, KY",,,
21140,20211001,1.0095,0.0000,"Elkhart-Goshen, IN",,,
21300,20211001,0.9179,0.0000,"Elmira, NY",,,
21340,20211001,0.8055,0.0000,"El Paso, TX",,,
21420,20211001,0.8407,0.0000,"Enid, OK",,,
21500,20211001,0.8000,0.0000,"Erie, PA",,,
21660,20211001,1.1902,0.0000,"Eugene, OR",,,
21780,20211001,0.9308,0.0000,"Evansville, IN-KY",,,
21820,20211001,0.9718,0.0000,"Fairbanks, AK",,,
22020,20211001,0.8000,0.0000,"Fargo, ND-MN",,,
22140,20211001,0.9248,0.0000,"Farmington, NM",,,
22180,20211001,0.8502,0.0000,"Fayetteville, NC",,,
22220,20211001,0.8343,0.0000,"Fayetteville-Springdale-Rogers, AR-MO",,,
22380,20211001,1.0583,0.0000,"Flagstaff, AZ",,,
22420,20211001,1.0694,0.0000,"Flint, MI",,,
22500,20211001,0.8000,0.0000,"Florence, SC",,,
22520,20211001,0.7421,0.0000,"Florence-Muscle Shoals, AL",,,
22540,20211001,0.8386,0.0000,"Fond du Lac, WI",,,
22660,20211001,0.9914,0.0000,"Fort Collins, CO",,,
22744,20211001,0.9377,0.0000,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,
22900,20211001,0.8000,0.0000,"Fort Smith, AR-OK",,,
23060,20211001,0.9252,0.0000,"Fort Wayne, IN",,,
23104,20211001,0.9738,0.0000,"Fort Worth-Arlington, TX",,,
23224,20211001,0.9755,0.0000,"Frederick-Gaithersburg-Rockville, MD",,,
23420,20211001,1.0729,0.0000,"Fresno, CA",,,
23460,20211001,0.7997,0.0000,"Gadsden, AL",,,
23540,20211001,0.8914,0.0000,"Gainesville, FL",,,
23580,20211001,0.9400,0.0000,"Gainesville, GA",,,
23844,20211001,0.9304,0.0000,"Gary, IN",,,
23900,20211001,1.0477,0.0000,"Gettysburg, PA",,,
24020,20211001,0.8000,0.0000,"Glens Falls, NY",,,
24140,20211001,0.9473,0.0000,"Goldsboro, NC",,,
24220,20211001,0.8356,0.0000,"Grand Forks, ND-MN",,,
24260,20211001,0.9589,0.0000,"Grand Island, NE",,,
24300,20211001,0.9157,0.0000,"Grand Junction, CO",,,
24340,20211001,0.8942,0.0000,"Grand Rapids-Kentwood, MI",,,
24420,20211001,1.0509,0.0000,"Grants Pass, OR",,,
24500,20211001,0.8147,0.0000,"Great Falls, MT",,,
24540,20211001,0.8945,0.0000,"Greeley, CO",,,
24580,20211001,0.9276,0.0000,"Green Bay, WI",,,
24660,20211001,0.8949,0.0000,"Greensboro-High Point, NC",,,
24780,20211001,0.9033,0.0000,"Greenville, NC",,,
24860,20211001,0.8839,0.0000,"Greenville-Anderson-Mauldin, SC",,,
25020,20211001,0.4752,0.0000,"Guayama, PR",,,
25060,20211001,0.8000,0.0000,"Gulfport-Biloxi, MS",,,
25180,20211001,0.8678,0.0000,"Hagerstown-Martinsburg, MD-WV",,,
25220,20211001,0.8025,0.0000,"Hammond, LA",,,
25260,20211001,1.0531,0.0000,"Hanford-Corcoran, CA",,,
25420,20211001,0.9620,0.0000,"Harrisburg-Carlisle, PA",,,
25500,20211001,0.9377,0.0000,"Harrisonburg, VA",,,
25540,20211001,1.0924,0.0000,"Hartford-West Hartford-East Hartford, CT",,,
25620,20211001,0.8000,0.0000,"Hattiesburg, MS",,,
25860,20211001,0.8528,0.0000,"Hickory-Lenoir-Morganton, NC",,,
25940,20211001,0.8132,0.0000,"Hilton Head Island-Bluffton-Beaufort, SC",,,
25980,20211001,0.8635,0.0000,"Hinesville-Fort Stewart, GA",,,
26140,20211001,0.8618,0.0000,"Homosassa Springs, FL",,,
26300,20211001,0.8261,0.0000,"Hot Springs, AR",,,
26380,20211001,0.7898,0.0000,"Houma-Thibodaux, LA",,,
26420,20211001,0.9925,0.0000,"Houston-The Woodlands-Sugar Land, TX",,,
26580,20211001,0.8482,0.0000,"Huntington-Ashland, WV-KY-OH",,,
26620,20211001,0.8055,0.0000,"Huntsville, AL",,,
26820,20211001,0.8420,0.0000,"Idaho Falls, ID",,,
26900,20211001,0.9807,0.0000,"Indianapolis-Carmel-Anderson, IN",,,
26980,20211001,0.9480,0.0000,"Iowa City, IA",,,
27060,20211001,1.0862,0.0000,"Ithaca, NY",,,
27100,20211001,0.8000,0.0000,"Jackson, MI",,,
27140,20211001,0.8351,0.0000,"Jackson, MS",,,
27180,20211001,0.8000,0.0000,"Jackson, TN",,,
27260,20211001,0.8390,0.0000,"Jacksonville, FL",,,
27340,20211001,0.8000,0.0000,"Jacksonville, NC",,,
27500,20211001,0.9039,0.0000,"Janesville-Beloit, WI",,,
27620,20211001,0.8076,0.0000,"Jefferson City, MO",,,
27740,20211001,0.8000,0.0000,"Johnson City, TN",,,
27780,20211001,0.8000,0.0000,"Johnstown, PA",,,
27860,20211001,0.8000,0.0000,"Jonesboro, AR",,,
27900,20211001,0.8000,0.0000,"Joplin, MO",,,
27980,20211001,1.2272,0.0000,"Kahului-Wailuku-Lahaina, HI",,,
28020,20211001,0.9331,0.0000,"Kalamazoo-Portage, MI",,,
28100,20211001,0.8914,0.0000,"Kankakee, IL",,,
28140,20211001,0.9237,0.0000,"Kansas City, MO-KS",,,
28420,20211001,0.9897,0.0000,"Kennewick-Richland, WA",,,
28660,20211001,0.9282,0.0000,"Killeen-Temple, TX",,,
28700,20211001,0.8000,0.0000,"Kingsport-Bristol-Bristol, TN-VA",,,
28740,20211001,0.9708,0.0000,"Kingston, NY",,,
