code,factor
F0150,1.03
F01511,1.03
F01518,1.03
F0152,1.03
F0153,1.03
F0154,1.03
F01A0,1.03
F01A11,1.03
F01A18,1.03
F01A2,1.03
F01A3,1.03
F01A4,1.03
F01B0,1.03
F01B11,1.03
F01B18,1.03
F01B2,1.03
F01B3,1.03
F01B4,1.03
F01C0,1.03
F01C11,1.03
F01C18,1.03
F01C2,1.03
F01C3,1.03
F01C4,1.03
F0280,1.03
F02811,1.03
F02818,1.03
F0282,1.03
F0283,1.03
F0284,1.03
F02A0,1.03
F02A11,1.03
F02A18,1.03
F02A2,1.03
F02A3,1.03
F02A4,1.03
F02B0,1.03
F02B11,1.03
F02B18,1.03
F02B2,1.03
F02B3,1.03
F02B4,1.03
F02C0,1.03
F02C11,1.03
F02C18,1.03
F02C2,1.03
F02C3,1.03
F02C4,1.03
F04,1.03
F05,1.05
F060,1.03
F061,1.03
F062,1.03
F0630,1.03
F0631,1.03
F0632,1.03
F0633,1.03
F0634,1.03
F064,1.03
F0670,1.03
F0671,1.03
F068,1.03
F4542,1.02
