code,category,effectiveDate
00H001Z,6,20241001
00H004Z,6,20241001
00H005Z,6,20241001
00H031Z,6,20241001
00H041Z,6,20241001
00H601Z,6,20241001
00H631Z,6,20241001
00H641Z,6,20241001
00HE01Z,6,20241001
00HE31Z,6,20241001
00HE41Z,6,20241001
00HU01Z,6,20241001
00HU31Z,6,20241001
00HU41Z,6,20241001
00HV01Z,6,20241001
00HV31Z,6,20241001
00HV41Z,6,20241001
01HY01Z,6,20241001
01HY31Z,6,20241001
01HY41Z,6,20241001
07HK01Z,6,20241001
07HK31Z,6,20241001
07HK41Z,6,20241001
07HL01Z,6,20241001
07HL31Z,6,20241001
07HL41Z,6,20241001
07HM01Z,6,20241001
07HM31Z,6,20241001
07HM41Z,6,20241001
07HN01Z,6,20241001
07HN31Z,6,20241001
07HN41Z,6,20241001
07HP01Z,6,20241001
07HP31Z,6,20241001
07HP41Z,6,20241001
07HT01Z,6,20241001
07HT31Z,6,20241001
07HT41Z,6,20241001
08H031Z,6,20241001
08H0X1Z,6,20241001
08H131Z,6,20241001
08H1X1Z,6,20241001
09HD01Z,6,20241001
09HD31Z,6,20241001
09HD41Z,6,20241001
09HE01Z,6,20241001
09HE31Z,6,20241001
09HE41Z,6,20241001
09HH01Z,6,20241001
09HH31Z,6,20241001
09HH41Z,6,20241001
09HH71Z,6,20241001
09HH81Z,6,20241001
09HJ01Z,6,20241001
09HJ31Z,6,20241001
09HJ41Z,6,20241001
09HJ71Z,6,20241001
09HJ81Z,6,20241001
09HK01Z,6,20241001
09HK31Z,6,20241001
09HK41Z,6,20241001
09HK71Z,6,20241001
09HK81Z,6,20241001
09HN71Z,6,20241001
09HN81Z,6,20241001
09HY01Z,6,20241001
09HY31Z,6,20241001
09HY41Z,6,20241001
09HY71Z,6,20241001
09HY81Z,6,20241001
0BH001Z,6,20241001
0BH031Z,6,20241001
0BH041Z,6,20241001
0BH071Z,6,20241001
0BH081Z,6,20241001
0BHK01Z,6,20241001
0BHK31Z,6,20241001
0BHK41Z,6,20241001
0BHK71Z,6,20241001
0BHK81Z,6,20241001
0BHL01Z,6,20241001
0BHL31Z,6,20241001
0BHL41Z,6,20241001
0BHL71Z,6,20241001
0BHL81Z,6,20241001
0CH701Z,6,20241001
0CH731Z,6,20241001
0CH7X1Z,6,20241001
0CHA01Z,6,20241001
0CHA31Z,6,20241001
0CHA71Z,6,20241001
0CHA81Z,6,20241001
0CHS01Z,6,20241001
0CHS31Z,6,20241001
0CHS71Z,6,20241001
0CHS81Z,6,20241001
0CHY01Z,6,20241001
0CHY31Z,6,20241001
0CHY71Z,6,20241001
0CHY81Z,6,20241001
0DH501Z,6,20241001
0DH531Z,6,20241001
0DH541Z,6,20241001
0DH571Z,6,20241001
0DH581Z,6,20241001
0DH601Z,6,20241001
0DH631Z,6,20241001
0DH641Z,6,20241001
0DH671Z,6,20241001
0DH681Z,6,20241001
0DH801Z,6,20241001
0DH831Z,6,20241001
0DH841Z,6,20241001
0DH871Z,6,20241001
0DH881Z,6,20241001
0DH901Z,6,20241001
0DH931Z,6,20241001
0DH941Z,6,20241001
0DH971Z,6,20241001
0DH981Z,6,20241001
0DHA01Z,6,20241001
0DHA31Z,6,20241001
0DHA41Z,6,20241001
0DHA71Z,6,20241001
0DHA81Z,6,20241001
0DHB01Z,6,20241001
0DHB31Z,6,20241001
