cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name
01,,20191001,00.6629,00.6629,ALABAMA
02,,20191001,01.2624,01.2624,ALASKA
03,,20191001,01.0260,01.0260,ARIZONA
04,,20191001,00.7380,00.7380,ARKANSAS
05,,20191001,01.3189,01.3189,CALIFORNIA
06,,20191001,00.9971,00.9244,COLORADO
07,,20191001,01.2538,01.2538,CONNECTICUT
10,,20191001,00.9485,00.9485,FLORIDA
11,,20191001,00.7412,00.7412,GEORGIA
12,,20191001,01.2699,01.2699,HAWAII
13,,20191001,00.7889,00.7889,IDAHO
14,,20191001,00.8259,00.8259,ILLINOIS
15,,20191001,00.8298,00.8298,INDIANA
16,,20191001,00.8334,00.8334,IOWA
17,,20191001,00.7627,00.7627,KANSAS
18,,20191001,00.8039,00.8039,KENTUCKY
19,,20191001,00.7055,00.7055,LOUISIANA
20,,20191001,00.8623,00.8623,MAINE
21,,20191001,00.8857,00.8857,MARYLAND
22,,20191001,01.2722,01.2722,MASSACHUSETTS
23,,20191001,00.8433,00.8433,MICHIGAN
24,,20191001,00.9081,00.8744,MINNESOTA
25,,20191001,00.7400,00.7400,MISSISSIPPI
26,,20191001,00.7821,00.7821,MISSOURI
27,,20191001,01.0000,00.8609,MONTANA
28,,20191001,00.8826,00.8673,NEBRASKA
29,,20191001,01.0101,00.8857,NEVADA
30,,20191001,01.0420,01.0305,NEW HAMPSHIRE
32,,20191001,00.8771,00.8771,NEW MEXICO
33,,20191001,00.8618,00.8261,NEW YORK
34,,20191001,00.7787,00.7787,NORTH CAROLINA
35,,20191001,01.0000,00.8819,NORTH DAKOTA
36,,20191001,00.8101,00.8101,OHIO
37,,20191001,00.7739,00.7627,OKLAHOMA
38,,20191001,01.0608,01.0506,OREGON
39,,20191001,00.8019,00.8019,PENNSYLVANIA
40,,20191001,00.3708,00.3708,PUERTO RICO
42,,20191001,00.8225,00.8053,SOUTH CAROLINA
43,,20191001,01.0000,00.8064,SOUTH DAKOTA
44,,20191001,00.7064,00.7064,TENNESSEE
45,,20191001,00.8092,00.8092,TEXAS
46,,20191001,00.8789,00.8789,UTAH
47,,20191001,00.9567,00.8817,VERMONT
49,,20191001,00.7604,00.7263,VIRGINIA
50,,20191001,01.0101,00.9555,WASHINGTON
51,,20191001,00.7302,00.7302,WEST VIRGINIA
52,,20191001,00.8946,00.8921,WISCONSIN
53,,20191001,01.0000,00.9415,WYOMING
98,,19910101,01.9343,01.9343,ALASKA INDIAN
99,,19910101,01.4448,01.4448,LOWER-48 INDIAN
10180,,20191001,00.8587,00.8587,Abilene TX
10380,,20191001,00.3103,00.3103,Aguadilla-Isabela PR
10420,,20191001,00.8203,00.8203,Akron OH
10500,,20191001,00.8002,00.8002,Albany GA
10540,,20191001,01.0915,01.0915,Albany OR
10580,,20191001,00.8289,00.8289,Albany-Schenectady-Troy NY
10740,,20191001,00.9051,00.9051,Albuquerque NM
10780,,20191001,00.8557,00.8557,Alexandria LA
10900,,20191001,00.9842,00.9474,Allentown-Bethlehem-Easton PA-NJ
11020,,20191001,00.9160,00.9160,Altoona PA
11100,,20191001,00.8430,00.8325,Amarillo TX
11180,,20191001,00.9171,00.8498,Ames IA
11244,,20191001,01.2258,01.2069,Anaheim-Santa Ana-Irvine CA
11260,,20191001,01.2136,01.2136,Anchorage AK
11460,,20191001,01.0106,00.9530,Ann Arbor MI
11500,,20191001,00.7837,00.7837,Anniston-Oxford-Jacksonville AL
11540,,20191001,00.9339,00.9339,Appleton WI
11640,,20191001,00.3560,00.3560,Arecibo PR
11700,,20191001,00.8814,00.8389,Asheville NC
12020,,20191001,00.8796,00.8796,Athens-Clarke County GA
12060,,20191001,00.9253,00.9119,Atlanta-Sandy Springs-Roswell GA
12100,,20191001,01.2186,01.1791,Atlantic City-Hammonton NJ
12220,,20191001,00.6732,00.6732,Auburn-Opelika AL
12260,,20191001,00.8724,00.8724,Augusta-Richmond County GA-SC
12420,,20191001,00.9293,00.9047,Austin-Round Rock TX
12540,,20191001,01.2154,01.2154,Bakersfield CA
12580,,20191001,00.9501,00.9501,Baltimore-Columbia-Towson MD
12620,,20191001,01.0542,01.0411,Bangor ME
12700,,20191001,01.2758,01.2758,Barnstable Town MA
