referenceName,code,codeType
ANDEXAXA,XW03372,PROC
ANDEXAXA,XW04372,PROC
AQUABEAM,XV508A4,PROC
DEFITELIO,XW03392,PROC
DEFITELIO,XW04392,PROC
GIAPREZA,XW033H4,PROC
GIAPREZA,XW043H4,PROC
ISLET,3E030U1,PROC
ISLET,3E033U1,PROC
ISLET,3E0J3U1,PROC
ISLET,3E0J7U1,PROC
ISLET,3E0J8U1,PROC
ISLET,Z006,DIAG
KYMRIAH,XW033C3,PROC
KYMRIAH,XW043C3,PROC
REMEDE1,0JH60DZ,PROC
REMEDE2,05H03MZ,PROC
REMEDE3,05H33MZ,PROC
REMEDE3,05H43MZ,PROC
SENTINEL,X2A5312,PROC
STELARA,XW033F3,PROC
VABOMERE,65293000901,NDC
VABOMERE,70842012001,NDC
VYXEOS,XW033B3,PROC
VYXEOS,XW043B3,PROC
ZEMDRI,XW033G4,PROC
ZEMDRI,XW043G4,PROC
ZINPLAVA,XW033A3,PROC
ZINPLAVA,XW043A3,PROC
