name,code,codeType
ABECMA,XW033K7,PROC
ABECMA,XW043K7,PROC
ABECMA,XW033A7,PROC
ABECMA,XW043A7,PROC
APREVO,XRGA0R7,PROC
APREVO,XRGA3R7,PROC
APREVO,XRGA4R7,PROC
APREVO,XRGB0R7,PROC
APREVO,XRGB3R7,PROC
APREVO,XRGB4R7,PROC
APREVO,XRGC0R7,PROC
APREVO,XRGC3R7,PROC
APREVO,XRGC4R7,PROC
APREVO,XRGD0R7,PROC
APREVO,XRGD3R7,PROC
APREVO,XRGD4R7,PROC
ASCOPE,XFJB8A7,PROC
ASCOPE,XFJD8A7,PROC
CAPTIONGUIDANCE,X2JAX47,PROC
CERAMENTGBI,XW0V0P7,PROC
COSELA,XW03377,PROC
COSELA,XW04377,PROC
COVID1,B9729,DIAG
COVID1,XW033E5,PROC
COVID1,XW043E5,PROC
COVID1,XW13325,PROC
COVID1,XW14325,PROC
COVID1,ZA,COND
COVID2,3E0G7GC,PROC
COVID2,3E0H7GC,PROC
COVID2,U071,DIAG
COVID2,XW0DXF5,PROC
COVID3,XW0DXM6,PROC
COVID3,XW0G7M6,PROC
COVID3,XW0H7M6,PROC
DARZALEX,XW01318,PROC
DARZALEX,E8581,DIAG
FETROJA1,XW033A6,PROC
FETROJA1,XW043A6,PROC
FETROJA2,Y95,DIAG
FETROJA3,J14,DIAG
FETROJA3,J150,DIAG
FETROJA3,J151,DIAG
FETROJA3,J155,DIAG
FETROJA3,J156,DIAG
FETROJA3,J158,DIAG
FETROJA4,J95851,DIAG
FETROJA5,B961,DIAG
FETROJA5,B9620,DIAG
FETROJA5,B9621,DIAG
FETROJA5,B9622,DIAG
FETROJA5,B9623,DIAG
FETROJA5,B9629,DIAG
FETROJA5,B963,DIAG
FETROJA5,B965,DIAG
FETROJA5,B9689,DIAG
GOHIBIC,08300011004,NDC
GORETAG1,02VW3DZ,PROC
GORETAG2,02VX3EZ,PROC
HARMONY,02RH38M,PROC
HEMOLUNG,5A0920Z,PROC
IFUSEBG,XNH6058,PROC
IFUSEBG,XNH6358,PROC
IFUSEBG,XNH7058,PROC
IFUSEBG,XNH7358,PROC
IFUSEBG,XRGE058,PROC
IFUSEBG,XRGE358,PROC
IFUSEBG,XRGF058,PROC
IFUSEBG,XRGF358,PROC
ISLET,3E030U1,PROC
ISLET,3E033U1,PROC
ISLET,3E0J3U1,PROC
ISLET,3E0J7U1,PROC
ISLET,3E0J8U1,PROC
ISLET,Z006,DIAG
KINERET,06665823407,NDC
LIVTENCITY,XW0DX38,PROC
LIVTENCITY,XW0G738,PROC
LIVTENCITY,XW0H738,PROC
MOLNUPIRAVIR,00006505506,NDC
MOLNUPIRAVIR,00006505507,NDC
NOCOSTPROD1,Z006,DIAG
NOCOSTPROD1,90,COND
NOCOSTPROD2,ZC,COND
PAXLOVID,00069108506,NDC
PAXLOVID,00069108530,NDC
PAXLOVID,00069110120,NDC
PAXLOVID,00069110104,NDC
PAXLOVID,00069034530,NDC
PAXLOVID,00069034506,NDC
PRCFC,30233D1,PROC
PRCFC,30243D1,PROC
PRCFC,D62,DIAG
PRCFC,D65,DIAG
PRCFC,D682,DIAG
PRCFC,D684,DIAG
PRCFC,D689,DIAG
RECARBRIO1,XW033U5,PROC
RECARBRIO1,XW043U5,PROC
RECARBRIO2,Y95,DIAG
RECARBRIO3,J14,DIAG
RECARBRIO3,J150,DIAG
RECARBRIO3,J151,DIAG
RECARBRIO3,J155,DIAG
RECARBRIO3,J156,DIAG
RECARBRIO3,J158,DIAG
RECARBRIO4,J95851,DIAG
RECARBRIO5,B961,DIAG
RECARBRIO5,B9620,DIAG
RECARBRIO5,B9621,DIAG
RECARBRIO5,B9622,DIAG
RECARBRIO5,B9623,DIAG
RECARBRIO5,B9629,DIAG
RECARBRIO5,B963,DIAG
RECARBRIO5,B965,DIAG
RECARBRIO5,B9689,DIAG
RYBREVANT,XW033B7,PROC
RYBREVANT,XW043B7,PROC
SHOCKWAVE,02F03ZZ,PROC
SHOCKWAVE,02F13ZZ,PROC
SHOCKWAVE,02F23ZZ,PROC
SHOCKWAVE,02F33ZZ,PROC
STRATAGRAFT,XHRPXF7,PROC
TECARTUS,XW033M7,PROC
TECARTUS,XW043M7,PROC
THORAFLEX1,X2RX0N7,PROC
THORAFLEX2,X2VW0N7,PROC
VEKLURY,XW033E5,PROC
VEKLURY,XW043E5,PROC
VIVISTIM,X0HQ3R8,PROC
ZEPZELCA,XW03387,PROC
ZEPZELCA,XW04387,PROC
