diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,20211001,28.9132,30.1,,39.1,,,HEART TRANSPLANT OR IMPLAN
002,20211001,14.9701,15.4,,18.2,,,HEART TRANSPLANT OR IMPLAN
003,20211001,19.1055,22.4,,30.2,Y,,ECMO OR TRACHEOSTOMY WITH
004,20211001,11.9225,20.0,,24.6,Y,,TRACHEOSTOMY WITH MV >96 H
005,20211001,10.2350,14.4,,19.4,,,LIVER TRANSPLANT WITH MCC
006,20211001,4.6964,7.5,,8.1,,,LIVER TRANSPLANT WITHOUT M
007,20211001,11.5800,17.4,,20.8,,,LUNG TRANSPLANT
008,20211001,5.4333,9.0,,10.2,,,SIMULTANEOUS PANCREAS AND
010,20211001,3.6200,8.0,,9.1,,,PANCREAS TRANSPLANT
011,20211001,5.0214,10.9,,13.8,,,"TRACHEOSTOMY FOR FACE, MOU"
012,20211001,3.8328,8.3,,9.4,,,"TRACHEOSTOMY FOR FACE, MOU"
013,20211001,2.7238,6.0,,6.8,,,"TRACHEOSTOMY FOR FACE, MOU"
014,20211001,10.6770,24.1,,27.2,,,ALLOGENEIC BONE MARROW TRA
016,20211001,6.7363,17.1,,18.3,,,AUTOLOGOUS BONE MARROW TRA
017,20211001,4.8557,8.9,,11.6,,,AUTOLOGOUS BONE MARROW TRA
018,20211001,37.4501,15.6,,17.6,,,CHIMERIC ANTIGEN RECEPTOR
019,20211001,6.6797,11.0,,12.9,,,SIMULTANEOUS PANCREAS AND
020,20211001,10.3370,12.7,,16.1,,,INTRACRANIAL VASCULAR PROC
021,20211001,7.5435,10.0,,12.3,,,INTRACRANIAL VASCULAR PROC
022,20211001,4.8428,4.0,,5.8,,,INTRACRANIAL VASCULAR PROC
023,20211001,5.6719,7.1,,9.8,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,20211001,3.9390,4.1,,5.2,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,20211001,4.4974,6.6,,8.8,Y,,CRANIOTOMY AND ENDOVASCULA
026,20211001,3.0620,3.8,,5.3,Y,,CRANIOTOMY AND ENDOVASCULA
027,20211001,2.5143,1.9,,2.5,Y,,CRANIOTOMY AND ENDOVASCULA
028,20211001,5.8231,9.3,,12.2,Y,Y,SPINAL PROCEDURES WITH MCC
029,20211001,3.2968,4.5,,6.0,Y,Y,SPINAL PROCEDURES WITH CC
030,20211001,2.3568,2.4,,3.1,Y,Y,SPINAL PROCEDURES WITHOUT
031,20211001,4.3717,7.2,,10.3,Y,,VENTRICULAR SHUNT PROCEDUR
032,20211001,2.2165,3.0,,4.3,Y,,VENTRICULAR SHUNT PROCEDUR
033,20211001,1.7222,1.7,,2.2,Y,,VENTRICULAR SHUNT PROCEDUR
034,20211001,3.9781,4.7,,7.0,,,CAROTID ARTERY STENT PROCE
035,20211001,2.3397,2.1,,3.0,,,CAROTID ARTERY STENT PROCE
036,20211001,1.8523,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
037,20211001,3.2776,5.0,,7.3,,,EXTRACRANIAL PROCEDURES WI
038,20211001,1.6588,2.1,,3.0,,,EXTRACRANIAL PROCEDURES WI
039,20211001,1.1391,1.2,,1.4,,,EXTRACRANIAL PROCEDURES WI
040,20211001,3.8648,6.9,,10.0,Y,Y,"PERIPHERAL, CRANIAL NERVE"
041,20211001,2.3497,3.9,,4.9,Y,Y,"PERIPHERAL, CRANIAL NERVE"
042,20211001,1.9012,2.4,,2.9,Y,Y,"PERIPHERAL, CRANIAL NERVE"
052,20211001,1.8535,4.2,,6.0,,,SPINAL DISORDERS AND INJUR
053,20211001,1.1364,2.8,,3.7,,,SPINAL DISORDERS AND INJUR
054,20211001,1.3683,3.8,,5.2,Y,,NERVOUS SYSTEM NEOPLASMS W
055,20211001,1.0446,3.0,,4.1,Y,,NERVOUS SYSTEM NEOPLASMS W
056,20211001,2.1953,5.5,,8.3,Y,,DEGENERATIVE NERVOUS SYSTE
057,20211001,1.2675,3.9,,5.8,Y,,DEGENERATIVE NERVOUS SYSTE
058,20211001,1.7378,4.9,,7.1,,,MULTIPLE SCLEROSIS AND CER
059,20211001,1.1273,3.6,,4.6,,,MULTIPLE SCLEROSIS AND CER
060,20211001,0.9177,3.0,,3.6,,,MULTIPLE SCLEROSIS AND CER
061,20211001,2.8912,4.7,,6.2,,,"ISCHEMIC STROKE, PRECEREBR"
062,20211001,1.9883,3.2,,3.7,,,"ISCHEMIC STROKE, PRECEREBR"
063,20211001,1.7097,2.3,,2.6,,,"ISCHEMIC STROKE, PRECEREBR"
064,20211001,1.9189,4.4,,6.1,Y,,INTRACRANIAL HEMORRHAGE OR
065,20211001,1.0200,2.9,,3.6,Y,,INTRACRANIAL HEMORRHAGE OR
066,20211001,0.7116,2.0,,2.4,Y,,INTRACRANIAL HEMORRHAGE OR
067,20211001,1.4258,3.3,,4.4,,,NONSPECIFIC CVA AND PRECER
068,20211001,0.8889,2.1,,2.6,,,NONSPECIFIC CVA AND PRECER
069,20211001,0.7871,2.1,,2.5,,,TRANSIENT ISCHEMIA WITHOUT
070,20211001,1.6796,4.5,,6.2,Y,,NONSPECIFIC CEREBROVASCULA
071,20211001,1.0118,3.3,,4.4,Y,,NONSPECIFIC CEREBROVASCULA
072,20211001,0.7717,2.3,,2.9,Y,,NONSPECIFIC CEREBROVASCULA
073,20211001,1.4529,3.7,,5.1,,,CRANIAL AND PERIPHERAL NER
074,20211001,1.0190,2.9,,3.6,,,CRANIAL AND PERIPHERAL NER
075,20211001,1.6270,4.7,,6.1,,,VIRAL MENINGITIS WITH CC/M
076,20211001,0.9849,3.0,,3.6,,,VIRAL MENINGITIS WITHOUT C
077,20211001,1.5329,4.0,,5.2,,,HYPERTENSIVE ENCEPHALOPATH
078,20211001,0.9499,2.8,,3.5,,,HYPERTENSIVE ENCEPHALOPATH
079,20211001,0.7288,2.0,,2.4,,,HYPERTENSIVE ENCEPHALOPATH
080,20211001,2.0954,5.1,,7.5,,,NONTRAUMATIC STUPOR AND CO
081,20211001,0.7732,2.5,,3.3,,,NONTRAUMATIC STUPOR AND CO
082,20211001,2.2639,4.2,,6.4,,,TRAUMATIC STUPOR AND COMA
083,20211001,1.3440,3.3,,4.3,,,TRAUMATIC STUPOR AND COMA
084,20211001,0.9056,2.1,,2.6,,,TRAUMATIC STUPOR AND COMA
085,20211001,2.3117,4.6,,6.5,Y,,TRAUMATIC STUPOR AND COMA
086,20211001,1.2745,3.0,,3.9,Y,,TRAUMATIC STUPOR AND COMA
087,20211001,0.8636,2.0,,2.4,Y,,TRAUMATIC STUPOR AND COMA
088,20211001,1.4552,3.6,,4.7,,,CONCUSSION WITH MCC
089,20211001,1.0635,2.7,,3.3,,,CONCUSSION WITH CC
090,20211001,0.8546,1.9,,2.3,,,CONCUSSION WITHOUT CC/MCC
091,20211001,1.6508,4.2,,5.8,Y,,OTHER DISORDERS OF NERVOUS
092,20211001,0.9889,3.0,,3.9,Y,,OTHER DISORDERS OF NERVOUS
093,20211001,0.7822,2.2,,2.8,Y,,OTHER DISORDERS OF NERVOUS
094,20211001,3.6379,8.0,,10.7,,,BACTERIAL AND TUBERCULOUS
095,20211001,2.5073,5.8,,7.2,,,BACTERIAL AND TUBERCULOUS
096,20211001,2.3327,4.2,,5.0,,,BACTERIAL AND TUBERCULOUS
097,20211001,3.7604,8.7,,11.9,,,NON-BACTERIAL INFECTION OF
098,20211001,2.1125,5.6,,7.3,,,NON-BACTERIAL INFECTION OF
099,20211001,1.4019,3.9,,4.8,,,NON-BACTERIAL INFECTION OF
100,20211001,1.8764,4.3,,6.0,Y,,SEIZURES WITH MCC
101,20211001,0.8884,2.6,,3.4,Y,,SEIZURES WITHOUT MCC
102,20211001,1.1531,3.0,,4.1,,,HEADACHES WITH MCC
103,20211001,0.8295,2.3,,3.0,,,HEADACHES WITHOUT MCC
113,20211001,2.1944,4.5,,6.3,,,ORBITAL PROCEDURES WITH CC
114,20211001,1.4476,2.3,,2.8,,,ORBITAL PROCEDURES WITHOUT
115,20211001,1.4566,3.5,,4.5,,,EXTRAOCULAR PROCEDURES EXC
116,20211001,1.8827,4.1,,6.1,,,INTRAOCULAR PROCEDURES WIT
117,20211001,1.0412,2.1,,2.8,,,INTRAOCULAR PROCEDURES WIT
121,20211001,1.1906,4.2,,5.5,,,ACUTE MAJOR EYE INFECTIONS
122,20211001,0.6455,3.0,,3.8,,,ACUTE MAJOR EYE INFECTIONS
123,20211001,0.7668,2.0,,2.5,,,NEUROLOGICAL EYE DISORDERS
124,20211001,1.4020,3.7,,5.1,,,OTHER DISORDERS OF THE EYE
125,20211001,0.8370,2.5,,3.3,,,OTHER DISORDERS OF THE EYE
135,20211001,2.1435,4.0,,5.7,,,SINUS AND MASTOID PROCEDUR
136,20211001,1.2555,1.6,,2.2,,,SINUS AND MASTOID PROCEDUR
137,20211001,1.5097,3.7,,5.0,,,MOUTH PROCEDURES WITH CC/M
138,20211001,0.8565,1.9,,2.4,,,MOUTH PROCEDURES WITHOUT C
139,20211001,1.2341,2.3,,3.2,,,SALIVARY GLAND PROCEDURES
140,20211001,3.9779,7.0,,9.2,,,MAJOR HEAD AND NECK PROCED
141,20211001,2.2061,3.3,,4.4,,,MAJOR HEAD AND NECK PROCED
142,20211001,1.6051,2.1,,2.7,,,MAJOR HEAD AND NECK PROCED
143,20211001,2.9798,5.8,,8.0,,,"OTHER EAR, NOSE, MOUTH AND"
144,20211001,1.7615,3.1,,4.2,,,"OTHER EAR, NOSE, MOUTH AND"
145,20211001,1.2246,1.9,,2.4,,,"OTHER EAR, NOSE, MOUTH AND"
146,20211001,2.0411,5.1,,7.4,,,"EAR, NOSE, MOUTH AND THROA"
147,20211001,1.3011,3.4,,4.9,,,"EAR, NOSE, MOUTH AND THROA"
148,20211001,0.7870,2.2,,3.0,,,"EAR, NOSE, MOUTH AND THROA"
149,20211001,0.7370,2.0,,2.4,,,DYSEQUILIBRIUM
150,20211001,1.3275,3.4,,4.6,,,EPISTAXIS WITH MCC
151,20211001,0.7384,2.1,,2.6,,,EPISTAXIS WITHOUT MCC
152,20211001,1.0805,3.1,,4.0,,,OTITIS MEDIA AND URI WITH
153,20211001,0.7132,2.3,,2.8,,,OTITIS MEDIA AND URI WITHO
154,20211001,1.5468,3.9,,5.3,,,"OTHER EAR, NOSE, MOUTH AND"
155,20211001,0.9095,2.9,,3.5,,,"OTHER EAR, NOSE, MOUTH AND"
156,20211001,0.6584,2.1,,2.5,,,"OTHER EAR, NOSE, MOUTH AND"
157,20211001,1.5762,4.3,,5.8,,,DENTAL AND ORAL DISEASES W
158,20211001,0.9002,2.8,,3.4,,,DENTAL AND ORAL DISEASES W
159,20211001,0.6631,2.1,,2.4,,,DENTAL AND ORAL DISEASES W
163,20211001,5.0068,9.2,,11.6,Y,,MAJOR CHEST PROCEDURES WIT
164,20211001,2.6556,4.4,,5.4,Y,,MAJOR CHEST PROCEDURES WIT
165,20211001,1.9166,2.6,,3.1,Y,,MAJOR CHEST PROCEDURES WIT
166,20211001,3.7235,7.9,,10.6,Y,,OTHER RESPIRATORY SYSTEM O
167,20211001,1.8187,3.7,,5.0,Y,,OTHER RESPIRATORY SYSTEM O
168,20211001,1.3544,2.0,,2.5,Y,,OTHER RESPIRATORY SYSTEM O
175,20211001,1.5460,4.1,,5.1,Y,,PULMONARY EMBOLISM WITH MC
176,20211001,0.8878,2.6,,3.2,Y,,PULMONARY EMBOLISM WITHOUT
177,20211001,1.8491,5.4,,6.8,Y,,RESPIRATORY INFECTIONS AND
178,20211001,1.2078,4.0,,5.0,Y,,RESPIRATORY INFECTIONS AND
179,20211001,0.8727,3.0,,3.7,Y,,RESPIRATORY INFECTIONS AND
180,20211001,1.7399,4.9,,6.4,,,RESPIRATORY NEOPLASMS WITH
181,20211001,1.1201,3.3,,4.2,,,RESPIRATORY NEOPLASMS WITH
182,20211001,0.7920,2.2,,2.7,,,RESPIRATORY NEOPLASMS WITH
183,20211001,1.5589,4.3,,5.5,,,MAJOR CHEST TRAUMA WITH MC
184,20211001,1.0409,3.1,,3.7,,,MAJOR CHEST TRAUMA WITH CC
185,20211001,0.7749,2.4,,2.8,,,MAJOR CHEST TRAUMA WITHOUT
186,20211001,1.5438,4.3,,5.6,Y,,PLEURAL EFFUSION WITH MCC
187,20211001,1.0329,3.2,,4.0,Y,,PLEURAL EFFUSION WITH CC
188,20211001,0.7295,2.4,,3.0,Y,,PLEURAL EFFUSION WITHOUT C
189,20211001,1.2261,3.6,,4.6,,,PULMONARY EDEMA AND RESPIR
190,20211001,1.1251,3.6,,4.4,Y,,CHRONIC OBSTRUCTIVE PULMON
191,20211001,0.8843,2.9,,3.5,Y,,CHRONIC OBSTRUCTIVE PULMON
192,20211001,0.6956,2.4,,2.8,Y,,CHRONIC OBSTRUCTIVE PULMON
193,20211001,1.3120,4.1,,5.1,Y,,SIMPLE PNEUMONIA AND PLEUR
194,20211001,0.8639,3.1,,3.7,Y,,SIMPLE PNEUMONIA AND PLEUR
195,20211001,0.6658,2.5,,2.9,Y,,SIMPLE PNEUMONIA AND PLEUR
196,20211001,1.7386,4.8,,6.4,Y,,INTERSTITIAL LUNG DISEASE
197,20211001,1.0070,3.2,,4.0,Y,,INTERSTITIAL LUNG DISEASE
198,20211001,0.7434,2.4,,2.9,Y,,INTERSTITIAL LUNG DISEASE
199,20211001,1.7900,5.1,,6.6,,,PNEUMOTHORAX WITH MCC
200,20211001,1.0765,3.2,,4.0,,,PNEUMOTHORAX WITH CC
201,20211001,0.7096,2.3,,2.9,,,PNEUMOTHORAX WITHOUT CC/MC
202,20211001,0.9670,3.0,,3.7,,,BRONCHITIS AND ASTHMA WITH
203,20211001,0.7070,2.3,,2.8,,,BRONCHITIS AND ASTHMA WITH
204,20211001,0.7936,2.1,,2.7,,,RESPIRATORY SIGNS AND SYMP
205,20211001,1.6848,4.1,,5.7,Y,,OTHER RESPIRATORY SYSTEM D
206,20211001,0.8860,2.5,,3.1,Y,,OTHER RESPIRATORY SYSTEM D
207,20211001,5.7361,11.9,,14.0,Y,,RESPIRATORY SYSTEM DIAGNOS
208,20211001,2.5448,4.9,,6.8,,,RESPIRATORY SYSTEM DIAGNOS
215,20211001,10.5584,5.1,,8.6,,,OTHER HEART ASSIST SYSTEM
216,20211001,10.0393,11.6,,14.7,Y,Y,CARDIAC VALVE AND OTHER MA
217,20211001,6.4835,6.2,,7.9,Y,Y,CARDIAC VALVE AND OTHER MA
218,20211001,6.1093,3.1,,4.2,Y,Y,CARDIAC VALVE AND OTHER MA
219,20211001,8.0576,8.9,,10.9,Y,Y,CARDIAC VALVE AND OTHER MA
220,20211001,5.4053,5.9,,6.5,Y,Y,CARDIAC VALVE AND OTHER MA
221,20211001,4.5799,3.8,,4.4,Y,Y,CARDIAC VALVE AND OTHER MA
222,20211001,7.9510,8.8,,10.6,,,CARDIAC DEFIBRILLATOR IMPL
223,20211001,5.7986,4.7,,5.6,,,CARDIAC DEFIBRILLATOR IMPL
224,20211001,7.5191,7.6,,9.3,,,CARDIAC DEFIBRILLATOR IMPL
225,20211001,5.6178,4.2,,4.9,,,CARDIAC DEFIBRILLATOR IMPL
226,20211001,6.5650,6.1,,7.8,,,CARDIAC DEFIBRILLATOR IMPL
227,20211001,5.2121,3.0,,3.9,,,CARDIAC DEFIBRILLATOR IMPL
228,20211001,5.3303,7.0,,9.6,,,OTHER CARDIOTHORACIC PROCE
229,20211001,3.4412,3.0,,4.0,,,OTHER CARDIOTHORACIC PROCE
231,20211001,8.7159,10.8,,12.5,,,CORONARY BYPASS WITH PTCA
232,20211001,5.9538,7.7,,8.5,,,CORONARY BYPASS WITH PTCA
233,20211001,7.9223,11.4,,12.8,Y,,CORONARY BYPASS WITH CARDI
