technologyName,amount,adjustmentFactor
ANDEXAXA,18281.25,0.65
AZEDRA,98150.00,0.65
BALVERSA,3563.23,0.65
BAROSTIM,22750.00,0.65
CABLIVI,33215.00,0.65
CONTACT,1040.00,0.65
ELUVIA,3646.50,0.65
ELZONRIS,125448.05,0.65
FETROJA,7919.86,0.75
HEMOSPRAY,1625.00,0.65
IMFINZI,6875.90,0.65
JAKAFI,4096.21,0.65
NUZYRA,1552.50,0.75
OPTIMIZER,14950.00,0.65
RECARBRIO,3532.78,0.75
SOLIRIS,21199.75,0.65
SPINEJACK,3654.72,0.65
SPRAVATO,1014.79,0.65
T2BACTERIA,97.50,0.65
TECENTRIQ,6875.90,0.65
XENLETA,1275.75,0.75
XOSPATA,7312.50,0.65
ZERBAXA,1836.98,0.75
ZEMDRI,4083.75,0.75
