name,amount,adjustmentFactor
APREVO,40950.00,0.65
AVEIRH,15600.00,0.65
AVEIRL,10725.00,0.65
CANARYLEFT,850.85,0.65
CANARYRIGHT,850.85,0.65
CERAMENTGBI,4918.55,0.65
CERIBELL,913.90,0.65
CYTALUXLUNG,2762.50,0.65
CYTALUXOVARIAN,2762.50,0.65
DEFENCATH,17111.25,0.75
DETOURSYSTEM,16250.00,0.65
ECHOGO,1023.75,0.65
EPKINLYCOLUMVI,6504.07,0.65
GORETAG,27807.00,0.65
HEMOLUNG,6500.00,0.65
IFUSEBG,9828.00,0.65
LIVTENCITY,32500.00,0.65
LUNSUMIO,17492.10,0.65
PHAGENYXSYSTEM,3250.00,0.65
PRCFC,2535.00,0.65
REBYOTAVOWST,6789.25,0.65
REZZAYO,4387.50,0.75
RYBREVANT,6405.89,0.65
SAINTNEUROMOD,12675.00,0.65
SPEVIGO,33236.45,0.65
STRATAGRAFT,44200.00,0.65
TECVAYLI,8940.54,0.65
TERLIVAZ,16672.50,0.65
THORAFLEX,22750.00,0.65
TOPSSYSTEM,11375.00,0.65
VIVISTIM,23400.00,0.65
XACDURO,13680.00,0.75
