county,adjustmentFactor,startDate
01003,0.0149,20181001
01013,0.0176,20181001
01019,0.0038,20181001
01025,0.0165,20181001
01041,0.0119,20181001
01043,0.0399,20181001
01049,0.0446,20181001
01055,0.0074,20181001
01071,0.0584,20181001
01081,0.0176,20181001
01095,0.0529,20181001
01103,0.0332,20181001
01109,0.0082,20181001
01111,0.0874,20181001
01119,0.0137,20181001
01121,0.0321,20181001
01123,0.0305,20181001
01133,0.0407,20181001
05027,0.0348,20181001
05055,0.0111,20181001
05059,0.0561,20181001
05069,0.0001,20181001
05107,0.0027,20181001
05121,0.0147,20181001
05145,0.0126,20181001
06001,0.0023,20181001
06005,0.0917,20181001
06055,0.0472,20181001
06057,0.0755,20181001
06077,0.0478,20181001
06081,0.0050,20181001
06095,0.0070,20181001
06097,0.0195,20181001
06099,0.0391,20181001
06103,0.0226,20181001
06115,0.0972,20181001
08013,0.0032,20181001
08043,0.0025,20181001
08123,0.0050,20181001
09001,0.0024,20181001
09005,0.0017,20181001
09009,0.0013,20181001
10001,0.0225,20181001
12015,0.0161,20181001
12017,0.0078,20181001
12023,0.0243,20181001
12035,0.0223,20181001
12061,0.0061,20181001
12075,0.0011,20181001
12083,0.0111,20181001
12105,0.0105,20181001
12107,0.0748,20181001
12119,0.0293,20181001
13009,0.0224,20181001
13031,0.0086,20181001
13039,0.0611,20181001
13109,0.0226,20181001
13119,0.0177,20181001
13123,0.0237,20181001
13129,0.0368,20181001
13131,0.0143,20181001
13137,0.0335,20181001
13139,0.0006,20181001
13153,0.0552,20181001
13157,0.0870,20181001
13163,0.0579,20181001
13187,0.1000,20181001
13261,0.0212,20181001
13285,0.0286,20181001
16055,0.0354,20181001
16065,0.0207,20181001
16069,0.0294,20181001
17057,0.0150,20181001
17075,0.0378,20181001
17089,0.0179,20181001
17091,0.0296,20181001
17095,0.0098,20181001
17099,0.0333,20181001
17105,0.0101,20181001
17137,0.0183,20181001
17177,0.0564,20181001
18005,0.0026,20181001
18017,0.0146,20181001
18033,0.0305,20181001
18035,0.0021,20181001
18039,0.0042,20181001
18053,0.0220,20181001
18065,0.0857,20181001
18067,0.0104,20181001
18069,0.0346,20181001
18071,0.0299,20181001
18085,0.0253,20181001
18089,0.0211,20181001
18091,0.0054,20181001
18099,0.0513,20181001
18107,0.0459,20181001
18113,0.0287,20181001
18149,0.0497,20181001
19045,0.0191,20181001
19099,0.0447,20181001
19113,0.0311,20181001
19127,0.0169,20181001
19139,0.0646,20181001
20021,0.0110,20181001
20035,0.0114,20181001
20045,0.0125,20181001
20125,0.0058,20181001
21009,0.0085,20181001
21021,0.0160,20181001
21073,0.0563,20181001
21093,0.0105,20181001
21097,0.0264,20181001
21141,0.0358,20181001
21151,0.0547,20181001
21173,0.0198,20181001
21179,0.0375,20181001
22009,0.0321,20181001
22011,0.0053,20181001
22021,0.0349,20181001
22027,0.0259,20181001
22039,0.0232,20181001
22041,0.0102,20181001
22053,0.0104,20181001
22059,0.0217,20181001
22061,0.0106,20181001
22067,0.0186,20181001
22097,0.0173,20181001
22101,0.0116,20181001
22105,0.0003,20181001
22117,0.0437,20181001
23001,0.0234,20181001
23009,0.0253,20181001
23015,0.0221,20181001
24003,0.0100,20181001
24029,0.0720,20181001
24031,0.0144,20181001
24037,0.0178,20181001
24041,0.0112,20181001
24043,0.0259,20181001
25001,0.0084,20181001
26021,0.0221,20181001
26023,0.0266,20181001
26025,0.0019,20181001
26057,0.0266,20181001
26059,0.0372,20181001
26075,0.0283,20181001
26087,0.0291,20181001
26091,0.0138,20181001
26107,0.0234,20181001
26111,0.0059,20181001
26115,0.0470,20181001
26149,0.0556,20181001
26155,0.1104,20181001
26163,0.0215,20181001
27005,0.0187,20181001
27049,0.0238,20181001
27061,0.0166,20181001
27085,0.0281,20181001
27099,0.0779,20181001
27131,0.0710,20181001
