tableNumber,scope,largeUrban,regLabor,regNLabor
tab1,nat,1,03959.10,1837.53
tab1,nat,2,03959.10,1837.53
tab1,pr,1,0000000,000000
tab1,pr,2,0000000,000000
tab1,natpr,1,0000000,000000
tab1,natpr,2,0000000,000000
tab2,nat,1,03930.16,1824.10
tab2,nat,2,03930.16,1824.10
tab2,pr,1,0000000,000000
tab2,pr,2,0000000,000000
tab2,natpr,1,0000000,000000
tab2,natpr,2,0000000,000000
tab3,nat,1,03593.91,2202.72
tab3,nat,2,03593.91,2202.72
tab3,pr,1,0000000,000000
tab3,pr,2,0000000,000000
tab3,natpr,1,0000000,000000
tab3,natpr,2,0000000,000000
tab4,nat,1,03567.64,2186.62
tab4,nat,2,03567.64,2186.62
tab4,pr,1,0000000,000000
tab4,pr,2,0000000,000000
tab4,natpr,1,000000,000000
tab4,natpr,2,0000000,000000
tab5,nat,1,03872.28,1797.23
tab5,nat,2,03872.28,1797.23
tab5,pr,1,0000000,000000
tab5,pr,2,0000000,000000
tab5,natpr,1,0000000,000000
tab5,natpr,2,0000000,000000
tab6,nat,1,03843.34,1783.80
tab6,nat,2,03843.34,1783.80
tab6,pr,1,0000000,000000
tab6,pr,2,0000000,000000
tab6,natpr,1,0000000,000000
tab6,natpr,2,0000000,000000
tab7,nat,1,03515.10,2154.41
tab7,nat,2,03515.10,2154.41
tab7,pr,1,0000000,000000
tab7,pr,2,0000000,000000
tab7,natpr,1,0000000,000000
tab7,natpr,2,0000000,000000
tab8,nat,1,03488.83,2138.31
tab8,nat,2,03488.83,2138.31
tab8,pr,1,0000000,000000
tab8,pr,2,0000000,000000
tab8,natpr,1,0000000,000000
tab8,natpr,2,0000000,000000
