cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20171001,0.6873,ALABAMA,,,,
02,20171001,1.4366,ALASKA,,,,
03,20171001,0.8892,ARIZONA,,,,
04,20171001,0.7263,ARKANSAS,,,,
05,20171001,1.3015,CALIFORNIA,,,,
06,20171001,1.0003,COLORADO,,,,
07,20171001,1.1145,CONNECTICUT,,,,
10,20171001,0.8146,FLORIDA,,,,
11,20171001,0.7420,GEORGIA,,,,
12,20171001,1.1143,HAWAII,,,,
13,20171001,0.7320,IDAHO,,,,
14,20171001,0.8524,ILLINOIS,,,,
15,20171001,0.8167,INDIANA,,,,
16,20171001,0.8254,IOWA,,,,
17,20171001,0.7688,KANSAS,,,,
18,20171001,0.7905,KENTUCKY,,,,
19,20171001,0.7050,LOUISIANA,,,,
20,20171001,0.8406,MAINE,,,,
21,20171001,0.8738,MARYLAND,,,,
22,20171001,1.0836,MASSACHUSETTS,,,,
23,20171001,0.8382,MICHIGAN,,,,
24,20171001,0.9042,MINNESOTA,,,,
25,20171001,0.7500,MISSISSIPPI,,,,
26,20171001,0.7776,MISSOURI,,,,
27,20171001,0.9293,MONTANA,,,,
28,20171001,0.8859,NEBRASKA,,,,
29,20171001,0.8979,NEVADA,,,,
30,20171001,1.0212,NEW HAMPSHIRE,,,,
32,20171001,0.8483,NEW MEXICO,,,,
33,20171001,0.8408,NEW YORK,,,,
34,20171001,0.7958,NORTH CAROLINA,,,,
35,20171001,0.7698,NORTH DAKOTA,,,,
36,20171001,0.8251,OHIO,,,,
37,20171001,0.7838,OKLAHOMA,,,,
38,20171001,1.0499,OREGON,,,,
39,20171001,0.8048,PENNSYLVANIA,,,,
40,20171001,0.4047,PUERTO RICO,,,,
42,20171001,0.8181,SOUTH CAROLINA,,,,
43,20171001,0.8213,SOUTH DAKOTA,,,,
44,20171001,0.7252,TENNESSEE,,,,
45,20171001,0.7783,TEXAS,,,,
46,20171001,0.9130,UTAH,,,,
47,20171001,0.9641,VERMONT,,,,
48,20171001,0.7108,VIRGIN ISLANDS,,,,
49,20171001,0.7593,VIRGINIA,,,,
50,20171001,1.0644,WASHINGTON,,,,
51,20171001,0.7303,WEST VIRGINIA,,,,
52,20171001,0.9301,WISCONSIN,,,,
53,20171001,0.9179,WYOMING,,,,
65,20171001,0.9611,GUAM,,,,
10180,20171001,0.8209,"Abilene, TX",,,,
10380,20171001,0.3607,"Aguadilla-Isabela, PR",,,,
10420,20171001,0.8337,"Akron, OH",,,,
10500,20171001,0.9267,"Albany, GA",,,,
10540,20171001,1.0658,"Albany, OR",,,,
10580,20171001,0.8217,"Albany-Schenectady-Troy, NY",,,,
