cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,1.0314,0.8818,0.8182,0.783,10,10,10,9
0102,1.3174,1.1262,1.0451,1.0001,13,13,12,11
0103,1.6846,1.4401,1.3363,1.2789,15,16,15,14
0104,2.1886,1.871,1.7361,1.6615,19,19,18,18
0105,2.4829,2.1226,1.9696,1.885,23,23,21,20
0106,2.8525,2.4385,2.2628,2.1655,26,24,23,23
0201,1.1495,0.9399,0.8443,0.7891,10,11,10,10
0202,1.444,1.1807,1.0606,0.9913,12,14,12,12
0203,1.7411,1.4235,1.2787,1.1952,15,15,14,14
0204,2.1669,1.7718,1.5915,1.4876,20,19,17,16
0205,2.7369,2.2377,2.0101,1.8788,32,24,21,18
0301,1.2263,0.9941,0.9185,0.8514,11,11,10,10
0302,1.5711,1.2737,1.1768,1.0908,14,14,13,12
0303,1.8808,1.5247,1.4087,1.3058,16,16,15,14
0304,2.1101,1.7105,1.5805,1.465,19,18,16,16
0305,2.3049,1.8685,1.7264,1.6002,21,20,17,17
0401,1.3684,1.1612,1.046,0.9718,12,12,12,11
0402,1.7807,1.511,1.3611,1.2646,16,16,14,15
0403,2.1371,1.8135,1.6336,1.5177,20,20,18,17
0404,3.6185,3.0706,2.766,2.5698,29,35,32,26
0405,2.7444,2.3288,2.0978,1.949,25,26,22,21
0406,3.5969,3.0522,2.7494,2.5544,34,31,28,28
0407,4.107,3.485,3.1394,2.9166,46,36,32,32
0501,1.3097,1.0178,0.9609,0.8875,13,12,11,10
0502,1.6273,1.2646,1.1939,1.1028,14,14,13,12
0503,1.8899,1.4687,1.3866,1.2807,16,16,15,14
0504,2.2506,1.7491,1.6513,1.5252,21,19,18,17
0505,2.9362,2.2819,2.1543,1.9899,28,24,22,21
0601,1.3673,1.0293,0.9649,0.877,12,11,10,10
0602,1.7016,1.2809,1.2008,1.0915,14,13,12,12
0603,2.0214,1.5216,1.4264,1.2965,16,15,15,14
0604,2.3456,1.7657,1.6552,1.5045,20,18,17,16
0701,1.2473,1.0115,0.9585,0.8811,11,12,11,10
0702,1.5595,1.2647,1.1985,1.1016,14,14,13,12
0703,1.8956,1.5373,1.4568,1.339,17,16,15,15
0704,2.166,1.7566,1.6646,1.53,19,18,17,17
0801,1.1268,0.9068,0.8121,0.7564,10,10,9,9
0802,1.3248,1.0661,0.9548,0.8893,12,11,11,10
0803,1.4799,1.1909,1.0666,0.9934,12,13,12,11
0804,1.7056,1.3726,1.2293,1.1449,14,15,13,13
0805,1.9874,1.5994,1.4324,1.3341,17,17,15,14
0901,1.2111,0.9651,0.9133,0.8273,11,11,10,10
0902,1.5078,1.2015,1.1371,1.0301,13,13,12,12
0903,1.7744,1.4139,1.3382,1.2122,15,15,14,14
0904,2.0373,1.6235,1.5365,1.3918,17,17,16,15
1001,1.296,1.0863,0.9748,0.9004,12,13,11,11
1002,1.601,1.3419,1.2042,1.1123,14,15,13,13
1003,1.8708,1.5681,1.4072,1.2997,16,17,15,14
1004,2.2049,1.8481,1.6585,1.5318,18,19,17,16
1101,1.2999,1.1583,1.0117,0.981,12,11,11,13
1102,1.7367,1.5476,1.3517,1.3107,14,13,14,14
1103,1.9515,1.739,1.5188,1.4728,17,13,15,14
1201,1.4251,0.9495,0.9495,0.8718,11,10,10,10
1202,1.7907,1.193,1.193,1.0954,13,14,13,12
1203,2.0815,1.3867,1.3867,1.2734,15,14,16,14
1204,2.1877,1.4575,1.4575,1.3383,15,15,15,15
1301,1.1277,0.9311,0.8839,0.7847,9,11,10,9
1302,1.5429,1.274,1.2094,1.0737,12,13,13,12
1303,1.7786,1.4686,1.3941,1.2377,14,15,14,14
1304,2.0617,1.7024,1.6161,1.4347,14,17,16,16
1305,2.0876,1.7237,1.6363,1.4527,15,16,16,16
1401,1.1456,0.9392,0.8477,0.7585,10,10,10,9
1402,1.4391,1.1799,1.065,0.9529,13,13,11,11
1403,1.7474,1.4326,1.2931,1.157,15,15,13,13
1404,2.0524,1.6827,1.5188,1.359,18,17,16,14
1501,1.2905,1.0335,0.9655,0.9262,11,11,10,10
1502,1.5913,1.2744,1.1906,1.1421,13,13,12,12
1503,1.8476,1.4796,1.3823,1.3261,16,14,13,13
1504,2.1421,1.7154,1.6027,1.5375,22,16,15,14
1601,0.9889,0.9889,0.8919,0.8028,9,10,11,9
1602,1.1078,1.1078,0.9991,0.8992,10,11,11,11
1603,1.3538,1.3538,1.2209,1.0989,12,14,13,13
1604,1.7201,1.7201,1.5513,1.3963,13,15,17,15
1701,1.391,1.0912,0.9919,0.9032,12,13,11,11
1702,1.6988,1.3328,1.2115,1.1031,15,14,13,13
1703,2.014,1.5799,1.4362,1.3077,18,16,15,15
1704,2.2279,1.7478,1.5888,1.4466,17,19,17,16
1705,2.4447,1.9179,1.7434,1.5873,23,20,18,17
1801,1.2381,0.9821,0.882,0.818,14,13,10,10
1802,1.5767,1.2506,1.1232,1.0418,13,15,12,12
1803,1.9345,1.5344,1.3781,1.2782,17,17,15,14
1804,2.2183,1.7596,1.5803,1.4657,22,19,17,16
1805,2.6487,2.101,1.8869,1.7501,28,23,20,19
1806,3.4119,2.7063,2.4305,2.2543,37,29,22,25
1901,1.2031,0.9356,0.9226,0.8738,14,12,13,10
1902,1.6292,1.267,1.2493,1.1832,18,14,14,14
1903,2.5939,2.0172,1.989,1.8838,25,21,21,21
1904,3.8189,2.9699,2.9284,2.7735,44,31,29,29
2001,1.2118,0.9833,0.9005,0.8282,11,11,10,9
2002,1.4899,1.209,1.1072,1.0182,13,13,12,11
2003,1.7634,1.4309,1.3105,1.2052,15,15,14,13
2004,1.9847,1.6104,1.4749,1.3564,18,17,15,15
2005,2.1338,1.7315,1.5858,1.4583,19,18,16,15
2101,1.8033,1.3711,1.1272,1.1272,17,13,13,14
2102,2.4055,1.8289,1.5036,1.5036,20,21,15,15
5001,0,0,0,0.1643,0,0,0,2
5101,0,0,0,0.7262,0,0,0,8
5102,0,0,0,1.8015,0,0,0,19
5103,0,0,0,0.8454,0,0,0,8
5104,0,0,0,2.0896,0,0,0,20
9999,0,0,0,0,0,0,0,0
