cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay,
0101,0.9790,0.8491,0.7759,0.7394,10,10,9,8,
0102,1.2423,1.0774,0.9845,0.9383,11,11,11,10,
0103,1.6012,1.3887,1.2690,1.2093,14,15,13,13,
0104,2.0435,1.7722,1.6195,1.5434,17,17,16,16,
0105,2.5553,2.2161,2.0251,1.9300,22,22,20,20,
0106,2.9064,2.5206,2.3034,2.1951,24,24,23,23,
0201,1.0198,0.8399,0.7629,0.7182,9,10,8,8,
0202,1.3336,1.0984,0.9976,0.9393,12,12,11,10,
0203,1.6608,1.3679,1.2424,1.1697,14,15,13,13,
0204,2.0598,1.6966,1.5409,1.4508,18,17,16,15,
0205,2.6385,2.1731,1.9738,1.8583,29,22,19,18,
0301,1.1987,0.9590,0.8810,0.8303,10,10,9,9,
0302,1.5498,1.2400,1.1390,1.0735,13,12,12,11,
0303,1.8648,1.4919,1.3705,1.2917,15,15,14,14,
0304,2.1621,1.7298,1.5890,1.4977,20,17,16,15,
0305,2.3845,1.9077,1.7524,1.6517,20,19,17,16,
0401,1.2060,1.0725,1.0411,0.9460,13,11,11,11,
0402,1.5554,1.3832,1.3427,1.2201,16,14,14,13,
0403,1.9519,1.7358,1.6850,1.5311,18,17,17,17,
0404,3.0476,2.7102,2.6309,2.3906,23,31,24,23,
0405,2.4236,2.1553,2.0922,1.9011,27,21,21,21,
0406,3.0925,2.7501,2.6696,2.4258,27,31,26,25,
0407,4.2278,3.7597,3.6497,3.3163,42,39,33,36,
0501,1.2699,0.9879,0.9333,0.8600,11,11,10,10,
0502,1.5931,1.2393,1.1709,1.0789,16,12,12,12,
0503,1.8261,1.4206,1.3421,1.2368,15,14,14,13,
0504,2.1707,1.6887,1.5954,1.4702,19,17,16,16,
0505,3.0163,2.3466,2.2169,2.0429,26,23,22,20,
0601,1.3287,0.9948,0.9287,0.8376,10,10,10,9,
0602,1.6853,1.2618,1.1779,1.0623,13,12,12,11,
0603,1.9858,1.4867,1.3879,1.2517,15,14,13,13,
0604,2.4904,1.8645,1.7406,1.5698,20,17,16,16,
0701,1.2542,0.9702,0.9191,0.8492,12,11,10,9,
0702,1.5492,1.1984,1.1352,1.0488,13,13,12,11,
0703,1.9051,1.4737,1.3960,1.2898,16,15,14,14,
0704,2.3273,1.8003,1.7054,1.5756,19,18,17,16,
0801,1.2157,0.9755,0.8894,0.8295,10,10,9,9,
0802,1.3783,1.1060,1.0083,0.9404,11,11,10,10,
0803,1.5341,1.2310,1.1223,1.0468,12,12,11,11,
0804,1.7187,1.3791,1.2574,1.1727,14,14,13,12,
0805,2.0613,1.6540,1.5080,1.4065,16,16,15,14,
0901,1.2017,0.9625,0.8971,0.8208,10,10,9,9,
0902,1.4967,1.1988,1.1173,1.0223,12,12,12,11,
0903,1.7873,1.4315,1.3343,1.2208,14,14,13,13,
0904,2.1416,1.7153,1.5988,1.4628,17,17,16,15,
1001,1.2110,1.0015,0.9149,0.8196,11,11,10,9,
1002,1.5341,1.2687,1.1590,1.0383,14,14,12,11,
