cbsa,effectiveDate,wageIndex1,wageIndex2,geographicWageIndex,name
01,20241001,0,0,0.6471,ALABAMA
02,20241001,0,0,1.1396,ALASKA
03,20241001,0,0,0.8735,ARIZONA
04,20241001,0,0,0.7185,ARKANSAS
05,20241001,0,0,1.2602,CALIFORNIA
06,20241001,0,0,1.0278,COLORADO
07,20241001,0,0,0.913,CONNECTICUT
08,20241001,0,0,1.0385,DELAWARE
10,20241001,0,0,0.8523,FLORIDA
11,20241001,0,0,0.7556,GEORGIA
12,20241001,0,0,1.1036,HAWAII
13,20241001,0,0,0.6925,IDAHO
14,20241001,0,0,0.8188,ILLINOIS
15,20241001,0,0,0.8657,INDIANA
16,20241001,0,0,0.8052,IOWA
17,20241001,0,0,0.8183,KANSAS
18,20241001,0,0,0.8152,KENTUCKY
19,20241001,0,0,0.6789,LOUISIANA
20,20241001,0,0,0.8236,MAINE
21,20241001,0,0,0.8679,MARYLAND
22,20241001,0,0,1.0285,MASSACHUSETTS
23,20241001,0,0,0.8421,MICHIGAN
24,20241001,0,0,0.8975,MINNESOTA
25,20241001,0,0,0.724,MISSISSIPPI
26,20241001,0,0,0.7941,MISSOURI
27,20241001,0,0,0.8835,MONTANA
28,20241001,0,0,0.8639,NEBRASKA
29,20241001,0,0,1.0343,NEVADA
30,20241001,0,0,0.9925,NEW HAMPSHIRE
32,20241001,0,0,0.9268,NEW MEXICO
33,20241001,0,0,0.8653,NEW YORK
34,20241001,0,0,0.8012,NORTH CAROLINA
35,20241001,0,0,0.8299,NORTH DAKOTA
36,20241001,0,0,0.801,OHIO
37,20241001,0,0,0.8172,OKLAHOMA
38,20241001,0,0,1.0467,OREGON
39,20241001,0,0,0.8723,PENNSYLVANIA
42,20241001,0,0,0.801,SOUTH CAROLINA
43,20241001,0,0,0.7807,SOUTH DAKOTA
44,20241001,0,0,0.7514,TENNESSEE
45,20241001,0,0,0.8434,TEXAS
46,20241001,0,0,0.8877,UTAH
47,20241001,0,0,0.9028,VERMONT
