cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,name
01,,20201001,0.6671,0.6671,0.6671,ALABAMA
02,,20201001,1.2483,1.2483,1.2383,ALASKA
03,,20201001,0.9680,0.9680,0.8761,ARIZONA
04,,20201001,0.7178,0.7178,0.7178,ARKANSAS
05,,20201001,1.2753,1.2383,1.2753,CALIFORNIA
06,,20201001,0.9943,0.9151,0.9943,COLORADO
07,,20201001,1.2331,1.2331,1.0275,CONNECTICUT
10,,20201001,0.8171,0.8171,0.8166,FLORIDA
11,,20201001,0.7161,0.7161,0.7161,GEORGIA
12,,20201001,1.2555,1.2555,1.2450,HAWAII
13,,20201001,0.9405,0.9405,0.7681,IDAHO
14,,20201001,0.8358,0.8358,0.8289,ILLINOIS
15,,20201001,0.8291,0.8291,0.8291,INDIANA
16,,20201001,0.8302,0.8302,0.8302,IOWA
17,,20201001,0.7709,0.7709,0.7709,KANSAS
18,,20201001,0.7949,0.7949,0.7949,KENTUCKY
19,,20201001,0.7044,0.7044,0.7044,LOUISIANA
20,,20201001,0.8610,0.8509,0.8610,MAINE
21,,20201001,0.8577,0.8577,0.8577,MARYLAND
22,,20201001,1.3415,1.3415,1.2673,MASSACHUSETTS
23,,20201001,0.8502,0.8502,0.8500,MICHIGAN
24,,20201001,0.9089,0.8904,0.9089,MINNESOTA
25,,20201001,0.7339,0.7339,0.7339,MISSISSIPPI
26,,20201001,0.7723,0.7723,0.7723,MISSOURI
27,,20201001,1.0000,0.8568,1.0000,MONTANA
28,,20201001,0.8735,0.8608,0.8735,NEBRASKA
29,,20201001,1.0453,1.0453,1.0453,NEVADA
30,,20201001,1.0363,1.0244,1.0363,NEW HAMPSHIRE
32,,20201001,0.8670,0.8670,0.8670,NEW MEXICO
33,,20201001,0.8726,0.8465,0.8726,NEW YORK
34,,20201001,0.7894,0.7894,0.7894,NORTH CAROLINA
35,,20201001,1.0000,0.8630,1.0000,NORTH DAKOTA
36,,20201001,0.8061,0.8061,0.8061,OHIO
37,,20201001,0.7718,0.7718,0.7718,OKLAHOMA
38,,20201001,1.0703,1.0573,1.0703,OREGON
39,,20201001,0.7949,0.7949,0.7943,PENNSYLVANIA
40,,20201001,0.3714,0.3714,0.3714,PUERTO RICO
42,,20201001,0.7986,0.7868,0.7986,SOUTH CAROLINA
43,,20201001,1.0000,0.8001,1.0000,SOUTH DAKOTA
44,,20201001,0.7108,0.7108,0.7108,TENNESSEE
45,,20201001,0.8135,0.8135,0.8135,TEXAS
46,,20201001,1.0286,1.0286,0.8577,UTAH
47,,20201001,0.9633,0.8781,0.9633,VERMONT
49,,20201001,0.7640,0.7373,0.7640,VIRGINIA
50,,20201001,1.1349,1.1349,1.1035,WASHINGTON
51,,20201001,0.7352,0.7352,0.7352,WEST VIRGINIA
52,,20201001,0.9475,0.9274,0.9475,WISCONSIN
53,,20201001,1.0000,0.9343,1.0000,WYOMING
98,,19910101,1.9343,1.9343,0.0000,ALASKA INDIAN
99,,19910101,1.4448,1.4448,0.0000,LOWER-48 INDIAN
10180,,20201001,0.8371,0.8371,0.0000,Abilene TX
10380,,20201001,0.3121,0.3121,0.0000,Aguadilla-Isabela PR
10420,,20201001,0.8079,0.8079,0.0000,Akron OH
10500,,20201001,0.8108,0.7887,0.0000,Albany GA
10540,,20201001,1.0734,1.0734,0.0000,Albany-Lebanon OR
10580,,20201001,0.8276,0.8276,0.0000,Albany-Schenectady-Troy NY
10740,,20201001,0.8652,0.8652,0.0000,Albuquerque NM
10780,,20201001,0.8502,0.8502,0.0000,Alexandria LA
10900,,20201001,0.9844,0.9642,0.0000,Allentown-Bethlehem-Easton PA-NJ
11020,,20201001,0.8237,0.8237,0.0000,Altoona PA
11100,,20201001,0.8115,0.8004,0.0000,Amarillo TX
11180,,20201001,0.9153,0.8542,0.0000,Ames IA
11244,,20201001,1.2249,1.2113,0.0000,Anaheim-Santa Ana-Irvine CA
11260,,20201001,1.1993,1.1993,0.0000,Anchorage AK
11460,,20201001,1.0016,0.9410,0.0000,Ann Arbor MI
11500,,20201001,0.7422,0.7422,0.0000,Anniston-Oxford AL
11540,,20201001,0.9311,0.9311,0.0000,Appleton WI
11640,,20201001,0.3437,0.3437,0.0000,Arecibo PR
11700,,20201001,0.8707,0.8707,0.0000,Asheville NC
12020,,20201001,0.8592,0.8592,0.0000,Athens-Clarke County GA
12060,L,20201001,0.9307,0.9172,0.0000,Atlanta-Sandy Springs-Alpharetta GA
12100,,20201001,1.1801,1.1489,0.0000,Atlantic City-Hammonton NJ
12220,,20201001,0.6916,0.6916,0.0000,Auburn-Opelika AL
12260,,20201001,0.8520,0.8520,0.0000,Augusta-Richmond County GA-SC
12420,L,20201001,0.9339,0.9115,0.0000,Austin-Round Rock-Georgetown TX
12540,,20201001,1.1806,1.1806,0.0000,Bakersfield CA
12580,L,20201001,0.9403,0.9403,0.0000,Baltimore-Columbia-Towson MD
12620,,20201001,1.0279,1.0062,0.0000,Bangor ME
12700,,20201001,1.2247,1.2247,0.0000,Barnstable Town MA
12940,,20201001,0.7997,0.7997,0.0000,Baton Rouge LA
12980,,20201001,0.8951,0.8828,0.0000,Battle Creek MI
13020,,20201001,0.9504,0.9302,0.0000,Bay City MI
13140,,20201001,0.8614,0.8382,0.0000,Beaumont-Port Arthur TX
13220,,20201001,0.7929,0.7929,0.0000,Beckley WV
13380,,20201001,1.2102,1.2102,0.0000,Bellingham WA
13460,,20201001,1.1097,1.1097,0.0000,Bend OR
13740,,20201001,0.9238,0.9238,0.0000,Billings MT
13780,,20201001,0.8579,0.8579,0.0000,Binghamton NY
13820,L,20201001,0.8090,0.7828,0.0000,Birmingham-Hoover AL
13900,,20201001,0.8777,0.8777,0.0000,Bismarck ND
