cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
01,,20211001,0.6484,0.6484,0.6484,0.0000,ALABAMA
02,,20211001,1.2253,1.2253,1.2106,0.0000,ALASKA
03,,20211001,0.9411,0.9411,0.8228,0.0000,ARIZONA
04,,20211001,0.7132,0.7132,0.7132,0.0000,ARKANSAS
05,,20211001,1.2687,1.2687,1.2687,0.0000,CALIFORNIA
06,,20211001,0.9824,0.9104,0.9824,0.0000,COLORADO
07,,20211001,0.9882,0.9882,0.9882,1.2031,CONNECTICUT
08,,20211001,0.0000,0.0000,0.0000,1.0715,DELAWARE
09,,20211001,0.0000,0.0000,0.0000,1.1131,DISTRICT OF COLUMBIA
10,,20211001,0.8027,0.7922,0.8027,0.0000,FLORIDA
11,,20211001,0.7549,0.7549,0.7549,0.0000,GEORGIA
12,,20211001,1.2012,1.2012,1.1952,0.0000,HAWAII
13,,20211001,0.8209,0.8209,0.7722,0.0000,IDAHO
14,,20211001,0.8433,0.8296,0.8433,0.0000,ILLINOIS
15,,20211001,0.8567,0.8567,0.8567,0.0000,INDIANA
16,,20211001,0.8228,0.8228,0.8063,0.0000,IOWA
17,,20211001,0.7824,0.7824,0.7824,0.0000,KANSAS
18,,20211001,0.8004,0.8004,0.8004,0.0000,KENTUCKY
19,,20211001,0.7008,0.7008,0.7008,0.0000,LOUISIANA
20,,20211001,0.8572,0.8572,0.8572,0.0000,MAINE
21,,20211001,0.8471,0.8471,0.8471,0.0000,MARYLAND
22,,20211001,1.3221,1.3221,1.2843,0.0000,MASSACHUSETTS
23,,20211001,0.8393,0.8393,0.8393,0.0000,MICHIGAN
24,,20211001,0.9418,0.9418,0.9100,0.0000,MINNESOTA
25,,20211001,0.7209,0.7209,0.7209,0.0000,MISSISSIPPI
26,,20211001,0.7651,0.7540,0.7651,0.0000,MISSOURI
27,,20211001,1.0000,0.9118,1.0000,0.0000,MONTANA
28,,20211001,0.8502,0.8335,0.8502,0.0000,NEBRASKA
29,,20211001,1.0093,1.0093,1.0093,0.0000,NEVADA
30,,20211001,1.0700,1.0127,1.0700,0.0000,NEW HAMPSHIRE
31,,20211001,0.0000,0.0000,0.0000,1.1542,NEW JERSEY
32,,20211001,0.8753,0.8414,0.8753,0.0000,NEW MEXICO
33,,20211001,0.8593,0.8380,0.8593,0.0000,NEW YORK
34,,20211001,0.8002,0.7857,0.8002,0.0000,NORTH CAROLINA
35,,20211001,1.0000,0.8542,1.0000,0.0000,NORTH DAKOTA
36,,20211001,0.8076,0.8076,0.8100,0.0000,OHIO
37,,20211001,0.7758,0.7758,0.7758,0.0000,OKLAHOMA
38,,20211001,1.0775,1.0775,1.0381,0.0000,OREGON
39,,20211001,0.8115,0.8115,0.8115,0.0000,PENNSYLVANIA
40,,20211001,0.3649,0.3649,0.3649,0.3649,PUERTO RICO
41,,20211001,0.0000,0.0000,0.0000,1.1296,RHODE ISLAND
42,,20211001,0.8183,0.8183,0.8183,0.0000,SOUTH CAROLINA
43,,20211001,1.0000,0.7909,1.0000,0.0000,SOUTH DAKOTA
44,,20211001,0.7096,0.7096,0.7096,0.0000,TENNESSEE
45,,20211001,0.9085,0.9085,0.8061,0.0000,TEXAS
46,,20211001,1.0108,1.0108,0.9020,0.0000,UTAH
47,,20211001,0.9499,0.8728,0.9499,0.0000,VERMONT
49,,20211001,0.7901,0.7638,0.7901,0.0000,VIRGINIA
50,,20211001,1.0986,0.9726,1.0986,0.0000,WASHINGTON
51,,20211001,0.7226,0.7226,0.7226,0.0000,WEST VIRGINIA
