cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
01,,20221001,0.6551,0.6551,0.0000,ALABAMA
02,,20221001,1.1944,1.1944,0.0000,ALASKA
03,,20221001,1.0397,1.0397,0.0000,ARIZONA
04,,20221001,0.7270,0.7270,0.0000,ARKANSAS
05,,20221001,1.2534,1.1914,0.0000,CALIFORNIA
06,,20221001,1.0127,0.9258,0.0000,COLORADO
07,,20221001,0.9703,0.9703,1.1894,CONNECTICUT
08,,20221001,0.0000,0.0000,1.0887,DELAWARE
09,,20221001,0.0000,0.0000,1.1380,DISTRICT OF COLUMBIA
10,,20221001,0.8074,0.7644,0.0000,FLORIDA
11,,20221001,0.7492,0.7492,0.0000,GEORGIA
12,,20221001,1.1999,1.1999,0.0000,HAWAII
13,,20221001,0.7725,0.7725,0.0000,IDAHO
14,,20221001,0.8458,0.8340,0.0000,ILLINOIS
15,,20221001,0.8350,0.8350,0.0000,INDIANA
16,,20221001,0.7843,0.7843,0.0000,IOWA
17,,20221001,0.7879,0.7879,0.0000,KANSAS
18,,20221001,0.7961,0.7961,0.0000,KENTUCKY
19,,20221001,0.6989,0.6989,0.0000,LOUISIANA
20,,20221001,0.8682,0.8642,0.0000,MAINE
21,,20221001,0.8485,0.8485,0.0000,MARYLAND
22,,20221001,1.2974,1.2635,0.0000,MASSACHUSETTS
23,,20221001,0.8251,0.8251,0.0000,MICHIGAN
24,,20221001,0.8988,0.8382,0.0000,MINNESOTA
25,,20221001,0.7382,0.7382,0.0000,MISSISSIPPI
26,,20221001,0.7805,0.7687,0.0000,MISSOURI
27,,20221001,1.0000,0.8327,0.0000,MONTANA
28,,20221001,0.8637,0.8458,0.0000,NEBRASKA
29,,20221001,1.0449,1.0449,0.0000,NEVADA
30,,20221001,1.0545,1.0318,0.0000,NEW HAMPSHIRE
31,,20221001,0.0000,0.0000,1.1141,NEW JERSEY
32,,20221001,0.8543,0.8255,0.0000,NEW MEXICO
33,,20221001,0.8515,0.8327,0.0000,NEW YORK
34,,20221001,0.8065,0.7943,0.0000,NORTH CAROLINA
35,,20221001,1.0000,0.8244,0.0000,NORTH DAKOTA
36,,20221001,0.8080,0.8080,0.0000,OHIO
37,,20221001,0.7640,0.7640,0.0000,OKLAHOMA
38,,20221001,1.0318,0.9950,0.0000,OREGON
39,,20221001,0.8336,0.8336,0.0000,PENNSYLVANIA
40,,20221001,0.3598,0.3598,0.3598,PUERTO RICO
41,,20221001,0.0000,0.0000,1.1360,RHODE ISLAND
42,,20221001,0.7997,0.7997,0.0000,SOUTH CAROLINA
43,,20221001,1.0000,0.8153,0.0000,SOUTH DAKOTA
44,,20221001,0.7149,0.7149,0.0000,TENNESSEE
45,,20221001,0.8240,0.8240,0.0000,TEXAS
46,,20221001,0.9720,0.9720,0.0000,UTAH
47,,20221001,0.9485,0.8771,0.0000,VERMONT
49,,20221001,0.7860,0.7594,0.0000,VIRGINIA
50,,20221001,1.0388,1.0388,0.0000,WASHINGTON
51,,20221001,0.7268,0.7268,0.0000,WEST VIRGINIA
52,,20221001,0.8647,0.8647,0.0000,WISCONSIN
53,,20221001,1.0000,0.9264,0.0000,WYOMING
98,,20221001,1.9343,1.9343,0.0000,ALASKA INDIAN
99,,20221001,1.4448,1.4448,0.0000,LOWER-48 INDIAN
10180,,20221001,0.8502,0.8323,0.0000,Abilene TX
10380,,20221001,0.2847,0.2847,0.0000,Aguadilla-Isabela PR
10420,,20221001,0.8186,0.8186,0.0000,Akron OH
10500,,20221001,0.8439,0.8192,0.0000,Albany GA
10540,,20221001,1.0817,1.0817,0.0000,Albany-Lebanon OR
10580,,20221001,0.8076,0.8076,0.0000,Albany-Schenectady-Troy NY
10740,,20221001,0.9065,0.9065,0.0000,Albuquerque NM
10780,,20221001,0.8589,0.8384,0.0000,Alexandria LA
10900,,20221001,0.9697,0.9375,0.0000,Allentown-Bethlehem-Easton PA-NJ
11020,,20221001,0.8350,0.8350,0.0000,Altoona PA
11100,,20221001,0.7959,0.7959,0.0000,Amarillo TX
11180,,20221001,0.8633,0.8633,0.0000,Ames IA
11244,,20221001,1.2517,1.2291,0.0000,Anaheim-Santa Ana-Irvine CA
11260,,20221001,1.1752,1.1752,0.0000,Anchorage AK
11460,,20221001,1.0293,0.9344,0.0000,Ann Arbor MI
11500,,20221001,0.6702,0.6702,0.0000,Anniston-Oxford AL
11540,,20221001,0.9503,0.9503,0.0000,Appleton WI
11640,,20221001,0.3327,0.3327,0.0000,Arecibo PR
11700,,20221001,0.8188,0.8188,0.0000,Asheville NC
12020,,20221001,0.8747,0.8747,0.0000,Athens-Clarke County GA
12060,L,20221001,0.9363,0.9190,0.0000,Atlanta-Sandy Springs-Alpharetta GA
12100,,20221001,1.0844,1.0740,0.0000,Atlantic City-Hammonton NJ
12220,,20221001,0.6779,0.6779,0.0000,Auburn-Opelika AL
12260,,20221001,0.8371,0.8371,0.0000,Augusta-Richmond County GA-SC
12420,L,20221001,0.9283,0.8880,0.0000,Austin-Round Rock-Georgetown TX
12540,,20221001,1.1716,1.1716,0.0000,Bakersfield CA
12580,L,20221001,0.9422,0.9422,0.0000,Baltimore-Columbia-Towson MD
12620,,20221001,0.9319,0.9319,0.0000,Bangor ME
12700,,20221001,1.1931,1.1931,0.0000,Barnstable Town MA
12940,,20221001,0.7887,0.7718,0.0000,Baton Rouge LA
12980,,20221001,0.9308,0.9013,0.0000,Battle Creek MI
13020,,20221001,0.9213,0.9075,0.0000,Bay City MI
13140,,20221001,0.8485,0.8485,0.0000,Beaumont-Port Arthur TX
13220,,20221001,0.7750,0.7750,0.0000,Beckley WV
13380,,20221001,1.1720,1.1720,0.0000,Bellingham WA
13460,,20221001,1.0866,1.0866,0.0000,Bend OR
13740,,20221001,0.8807,0.8807,0.0000,Billings MT
13780,,20221001,0.8448,0.8448,0.0000,Binghamton NY
13820,L,20221001,0.7907,0.7606,0.0000,Birmingham-Hoover AL
13900,,20221001,0.8500,0.8500,0.0000,Bismarck ND
13980,,20221001,0.8425,0.7756,0.0000,Blacksburg-Christiansburg VA
14010,,20221001,0.9225,0.8834,0.0000,Bloomington IL
14020,,20221001,0.9377,0.9377,0.0000,Bloomington IN
14100,,20221001,0.8841,0.8680,0.0000,Bloomsburg-Berwick PA
14260,,20221001,0.9516,0.9516,0.0000,Boise City ID
14454,,20221001,1.1829,1.1339,0.0000,Boston MA
14500,,20221001,0.9904,0.9904,0.0000,Boulder CO
14540,,20221001,0.8515,0.8515,0.0000,Bowling Green KY
14740,,20221001,1.2316,1.2316,0.0000,Bremerton-Silverdale-Port Orchard WA
14860,,20221001,1.3751,1.3751,0.0000,Bridgeport-Stamford-Norwalk CT
15180,,20221001,0.8427,0.8427,0.0000,Brownsville-Harlingen TX
15260,,20221001,0.8722,0.8570,0.0000,Brunswick GA
15380,L,20221001,1.0258,0.9796,0.0000,Buffalo-Cheektowaga NY
15500,,20221001,0.9824,0.9824,0.0000,Burlington NC
15540,,20221001,0.9572,0.9447,0.0000,Burlington-South Burlington VT
15680,,20221001,0.9040,0.9040,0.0000,California-Lexington Park MD
15764,L,20221001,1.0705,1.0705,0.0000,Cambridge-Newton-Framingham MA
15804,L,20221001,1.0466,1.0466,0.0000,Camden NJ
15940,,20221001,0.7743,0.7743,0.0000,Canton-Massillon OH
15980,,20221001,0.9009,0.9009,0.0000,Cape Coral-Fort Myers FL
16020,,20221001,0.7913,0.7913,0.0000,Cape Girardeau MO-IL
16060,,20221001,0.8255,0.7949,0.0000,Carbondale-Marion IL
16180,,20221001,0.9686,0.9686,0.0000,Carson City NV
16220,,20221001,0.9807,0.9807,0.0000,Casper WY
16300,,20221001,0.8539,0.8414,0.0000,Cedar Rapids IA
16540,,20221001,1.1035,1.0842,0.0000,Chambersburg-Waynesboro PA
16580,,20221001,0.8976,0.8976,0.0000,Champaign-Urbana IL
16620,,20221001,0.8568,0.8365,0.0000,Charleston WV
16700,,20221001,0.9103,0.8940,0.0000,Charleston-North Charleston SC
16740,L,20221001,0.9485,0.9363,0.0000,Charlotte-Concord-Gastonia NC-SC
16820,,20221001,0.9141,0.8885,0.0000,Charlottesville VA
16860,,20221001,0.8446,0.8287,0.0000,Chattanooga TN-GA
16940,,20221001,0.9117,0.9117,0.0000,Cheyenne WY
16984,,20221001,1.0380,1.0219,0.0000,Chicago-Naperville-Evanston IL
17020,,20221001,1.0871,1.0871,0.0000,Chico CA
