diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2024-10-01,28.1683,28.5,,38.5,,,HEART TRANSPLANT OR IMPLAN
002,2024-10-01,11.0197,11.6,,15.1,,,HEART TRANSPLANT OR IMPLAN
003,2024-10-01,21.4316,24.1,,34.3,Y,,ECMO OR TRACHEOSTOMY WITH
004,2024-10-01,14.13,23.1,,28.7,Y,,TRACHEOSTOMY WITH MV >96 H
005,2024-10-01,10.6494,14.2,,19.4,,,LIVER TRANSPLANT WITH MCC
006,2024-10-01,4.8492,7.5,,8.1,,,LIVER TRANSPLANT WITHOUT M
007,2024-10-01,13.0688,20.2,,24.6,,,LUNG TRANSPLANT
008,2024-10-01,5.4411,8.6,,9.9,,,SIMULTANEOUS PANCREAS AND
010,2024-10-01,7.973,9.4,,13,,,PANCREAS TRANSPLANT
011,2024-10-01,5.3959,11.7,,15.1,,,"TRACHEOSTOMY FOR FACE, MOU"
012,2024-10-01,4.1037,8.5,,9.6,,,"TRACHEOSTOMY FOR FACE, MOU"
013,2024-10-01,2.65,6.2,,7,,,"TRACHEOSTOMY FOR FACE, MOU"
014,2024-10-01,13.1018,27.6,,30.7,,,ALLOGENEIC BONE MARROW TRA
016,2024-10-01,6.0359,16.3,,17.5,,,AUTOLOGOUS BONE MARROW TRA
017,2024-10-01,6.0359,16.3,,17.5,,,AUTOLOGOUS BONE MARROW TRA
018,2024-10-01,37.7128,12.3,,14.6,,,CHIMERIC ANTIGEN RECEPTOR
019,2024-10-01,7.9273,11.1,,13.7,,,SIMULTANEOUS PANCREAS AND
020,2024-10-01,8.0611,9.5,,13.3,,,INTRACRANIAL VASCULAR PROC
021,2024-10-01,5.5273,5.2,,8.2,,,INTRACRANIAL VASCULAR PROC
022,2024-10-01,3.5304,1.7,,2.6,,,INTRACRANIAL VASCULAR PROC
023,2024-10-01,5.7051,7.3,,10.3,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,2024-10-01,3.8017,3.9,,5.1,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,2024-10-01,4.4723,6.5,,8.9,Y,,CRANIOTOMY AND ENDOVASCULA
026,2024-10-01,3.0586,3,,4.5,Y,,CRANIOTOMY AND ENDOVASCULA
027,2024-10-01,2.4678,1.6,,2,Y,,CRANIOTOMY AND ENDOVASCULA
028,2024-10-01,6.0795,9.8,,12.6,Y,Y,SPINAL PROCEDURES WITH MCC
029,2024-10-01,3.3567,4.7,,6.2,Y,Y,SPINAL PROCEDURES WITH CC
030,2024-10-01,2.2254,2.5,,3.3,Y,Y,SPINAL PROCEDURES WITHOUT
031,2024-10-01,4.1906,7,,10,Y,,VENTRICULAR SHUNT PROCEDUR
032,2024-10-01,2.1356,2.7,,4,Y,,VENTRICULAR SHUNT PROCEDUR
033,2024-10-01,1.5955,1.5,,1.9,Y,,VENTRICULAR SHUNT PROCEDUR
034,2024-10-01,3.8887,4.7,,7.1,,,CAROTID ARTERY STENT PROCE
035,2024-10-01,2.2748,1.9,,2.8,,,CAROTID ARTERY STENT PROCE
036,2024-10-01,1.8331,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
037,2024-10-01,3.3209,4.9,,7.6,,,EXTRACRANIAL PROCEDURES WI
038,2024-10-01,1.6113,1.9,,2.7,,,EXTRACRANIAL PROCEDURES WI
