diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2025-10-01,28.0239,25.8,,36.2,,,HEART TRANSPLANT OR IMPLAN
002,2025-10-01,11.3318,8.5,,14.0,,,HEART TRANSPLANT OR IMPLAN
003,2025-10-01,21.2252,22.9,,33.0,Y,,ECMO OR TRACHEOSTOMY WITH
004,2025-10-01,13.8514,22.4,,28.0,Y,,TRACHEOSTOMY WITH MV >96 H
005,2025-10-01,10.3105,14.0,,19.1,,,LIVER TRANSPLANT WITH MCC
006,2025-10-01,4.6370,7.1,,7.8,,,LIVER TRANSPLANT WITHOUT M
007,2025-10-01,12.9502,19.7,,23.5,,,LUNG TRANSPLANT
008,2025-10-01,5.6046,8.5,,10.0,,,SIMULTANEOUS PANCREAS AND
010,2025-10-01,7.1757,5.9,,6.0,,,PANCREAS TRANSPLANT
011,2025-10-01,5.4541,11.4,,13.9,,,"TRACHEOSTOMY FOR FACE, MOU"
012,2025-10-01,4.2160,8.6,,9.8,,,"TRACHEOSTOMY FOR FACE, MOU"
013,2025-10-01,2.8818,6.5,,7.1,,,"TRACHEOSTOMY FOR FACE, MOU"
014,2025-10-01,12.0179,25.7,,28.7,,,ALLOGENEIC BONE MARROW TRA
016,2025-10-01,5.9297,16.1,,17.2,,,AUTOLOGOUS BONE MARROW TRA
017,2025-10-01,5.4323,8.3,,11.5,,,AUTOLOGOUS BONE MARROW TRA
018,2025-10-01,43.1828,12.4,,14.7,,,CHIMERIC ANTIGEN RECEPTOR
019,2025-10-01,7.1346,10.1,,11.8,,,SIMULTANEOUS PANCREAS AND
020,2025-10-01,7.8688,8.8,,12.5,,,INTRACRANIAL VASCULAR PROC
021,2025-10-01,5.2938,4.9,,7.8,,,INTRACRANIAL VASCULAR PROC
022,2025-10-01,3.1774,1.7,,2.4,,,INTRACRANIAL VASCULAR PROC
023,2025-10-01,5.7303,7.1,,10.0,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,2025-10-01,3.9119,3.7,,4.9,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,2025-10-01,4.5467,6.4,,8.6,Y,,CRANIOTOMY AND ENDOVASCULA
026,2025-10-01,3.1092,2.8,,4.1,Y,,CRANIOTOMY AND ENDOVASCULA
027,2025-10-01,2.5229,1.5,,2.0,Y,,CRANIOTOMY AND ENDOVASCULA
028,2025-10-01,6.0083,9.5,,12.2,Y,Y,SPINAL PROCEDURES WITH MCC
029,2025-10-01,3.4116,4.7,,6.2,Y,Y,SPINAL PROCEDURES WITH CC
030,2025-10-01,2.1952,2.6,,3.3,Y,Y,SPINAL PROCEDURES WITHOUT
031,2025-10-01,4.4805,7.0,,10.6,Y,,VENTRICULAR SHUNT PROCEDUR
032,2025-10-01,2.1310,2.5,,3.7,Y,,VENTRICULAR SHUNT PROCEDUR
033,2025-10-01,1.6629,1.5,,1.9,Y,,VENTRICULAR SHUNT PROCEDUR
034,2025-10-01,3.8707,4.7,,6.7,,,CAROTID ARTERY STENT PROCE
035,2025-10-01,2.3905,1.9,,2.7,,,CAROTID ARTERY STENT PROCE
036,2025-10-01,1.9428,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
