diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
003,3.6814,56.2
004,2.7971,43.5
011,0.6374,19.3
012,0.6374,19.3
013,0.6374,19.3
014,0.5193,16.9
016,0.5193,16.9
017,0.5193,16.9
018,0.5193,16.9
020,0.9242,24.9
021,0.9242,24.9
022,0.9242,24.9
023,0.6374,19.3
024,0.6374,19.3
025,1.7482,36.8
026,0.6374,19.3
027,0.6374,19.3
028,1.7482,36.8
029,0.9227,24.8
030,0.9227,24.8
031,0.8548,23.6
032,0.8548,23.6
033,0.8548,23.6
034,1.7482,36.8
035,1.7482,36.8
036,1.7482,36.8
037,1.7482,36.8
038,1.7482,36.8
039,1.7482,36.8
040,1.3933,34.6
041,0.6374,19.3
042,0.6374,19.3
052,0.983,33
053,0.983,33
054,1.0152,25.2
055,0.6374,19.3
056,0.8429,24
057,0.6677,22.5
058,0.6374,19.3
059,0.6374,19.3
060,0.6374,19.3
061,0.8732,23.4
062,0.7303,20.1
063,0.6374,19.3
064,0.9242,24.9
065,0.5193,16.9
066,0.5193,16.9
067,0.6374,19.3
068,0.6374,19.3
069,0.5193,16.9
070,0.8732,23.4
071,0.7303,20.1
072,0.6374,19.3
073,0.9227,24.8
074,0.9227,24.8
075,0.6374,19.3
076,0.6374,19.3
077,0.6374,19.3
078,0.6374,19.3
079,0.6374,19.3
080,1.7482,36.8
081,0.5193,16.9
082,1.0269,28.9
083,0.753,23.6
084,0.5193,16.9
085,1.0256,25.7
086,0.6374,19.3
087,0.6374,19.3
088,1.7482,36.8
089,0.6374,19.3
090,0.6374,19.3
091,0.8704,23.3
092,0.8704,23.3
093,0.8704,23.3
094,1.0664,27.2
095,0.7534,20.5
096,0.5193,16.9
097,0.9601,21.9
098,0.8548,23.6
099,0.8548,23.6
100,0.7234,21.5
101,0.6374,19.3
102,0.6374,19.3
103,0.6374,19.3
113,0.6374,19.3
114,0.6374,19.3
115,0.6374,19.3
116,0.6374,19.3
117,0.6374,19.3
121,1.0152,25.2
122,0.6374,19.3
123,0.6374,19.3
124,0.6374,19.3
125,0.6374,19.3
135,0.6374,19.3
136,0.6374,19.3
137,0.6374,19.3
138,0.6374,19.3
139,0.5193,16.9
140,0.5193,16.9
141,0.5193,16.9
142,0.5193,16.9
143,0.6374,19.3
144,0.6374,19.3
145,0.6374,19.3
146,0.8548,23.6
147,0.6374,19.3
148,0.5193,16.9
149,0.5193,16.9
150,0.8548,23.6
151,0.8548,23.6
152,0.8548,23.6
153,0.6374,19.3
154,1.7482,36.8
155,0.6374,19.3
156,0.6374,19.3
157,1.0152,25.2
158,0.8548,23.6
159,0.6374,19.3
163,2.8905,45.2
164,0.8548,23.6
165,0.8548,23.6
166,2.3481,40
167,1.4259,29.1
168,1.4259,29.1
175,0.7247,20.6
176,0.7247,20.6
177,0.8328,21.7
178,0.5978,18.6
179,0.5978,18.6
180,0.8548,23.6
181,0.5193,16.9
182,0.5193,16.9
183,0.6374,19.3
184,0.6374,19.3
185,0.6374,19.3
186,0.8205,20.6
187,0.6374,19.3
188,0.6374,19.3
189,0.9448,21.3
190,0.7301,18.9
191,0.6565,16.3
192,0.6565,16.3
193,0.7067,19
194,0.6158,17.9
195,0.5193,16.9
196,0.6374,19.3
197,0.5193,16.9
198,0.5193,16.9
199,0.5944,17.9
200,0.5944,17.9
201,0.5944,17.9
202,1.0152,25.2
203,0.5193,16.9
204,1.7482,36.8
205,0.91,23.1
206,0.8548,23.6
207,1.88,32
208,1.1402,22.1
215,1.9393,33.8
216,1.9393,33.8
217,1.9393,33.8
218,1.9393,33.8
219,1.9393,33.8
220,1.9393,33.8
221,1.9393,33.8
222,1.7482,36.8
223,1.7482,36.8
224,1.0152,25.2
225,1.0152,25.2
226,1.0152,25.2
227,1.0152,25.2
228,1.0152,25.2
229,1.0152,25.2
231,1.9393,33.8
232,1.9393,33.8
233,1.9393,33.8
234,1.9393,33.8
235,1.9393,33.8
236,1.9393,33.8
239,1.8847,39.8
240,1.7482,36.8
241,1.7482,36.8
242,1.7482,36.8
243,1.0152,25.2
244,1.0152,25.2
245,1.0152,25.2
246,1.7482,36.8
247,1.7482,36.8
248,1.7482,36.8
249,1.7482,36.8
250,1.7482,36.8
251,1.7482,36.8
252,1.9393,33.8
253,1.9393,33.8
254,1.9393,33.8
255,1.7482,36.8
256,1.7482,36.8
257,1.7482,36.8
258,1.0152,25.2
259,1.0152,25.2
260,1.7482,36.8
261,1.7482,36.8
262,1.0152,25.2
263,1.3506,32.1
264,1.3506,32.1
265,1.0152,25.2
266,1.3506,32.1
267,1.3506,32.1
268,0.6374,19.3
269,0.6374,19.3
270,1.7482,36.8
271,1.0152,25.2
272,1.0152,25.2
273,1.0152,25.2
274,1.0152,25.2
280,0.8997,23.4
281,0.5193,16.9
282,0.5193,16.9
283,0.8942,17.5
284,0.5193,16.9
285,0.5193,16.9
286,1.7482,36.8
287,1.0152,25.2
288,1.1433,25.5
289,0.7801,23.5
290,0.7801,23.5
291,0.8559,21.3
292,0.5865,18.2
293,0.5865,18.2
294,0.8548,23.6
295,0.8548,23.6
296,0.5193,16.9
297,0.5193,16.9
298,0.5193,16.9
299,0.8461,22.6
300,0.4916,18.6
301,0.4916,18.6
302,1.0076,24.8
303,0.6374,19.3
304,1.7482,36.8
305,1.0152,25.2
306,0.8363,22.5
307,0.5193,16.9
308,0.7024,19.7
309,0.7024,19.7
310,0.5193,16.9
311,0.5193,16.9
312,1.0152,25.2
313,0.5193,16.9
314,1.0665,24.7
315,0.6321,20.3
316,0.6321,20.3
319,1.7482,36.8
320,1.7482,36.8
326,1.7482,36.8
327,1.0152,25.2
328,0.5193,16.9
329,1.7482,36.8
330,1.7482,36.8
331,0.5193,16.9
332,0.6142,18.9
333,0.6142,18.9
334,0.5193,16.9
335,1.7482,36.8
336,0.6142,18.9
337,0.5193,16.9
338,0.9479,23.3
