apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20250101,001740.72,00348.15,00348.15
00702,G,20250101,000002.00,00000.40,00000.40
00703,G,20250101,000003.12,00000.63,00000.63
00704,G,20250101,000333.70,00066.74,00066.74
00705,G,20250101,000109.53,00021.91,00021.91
00706,G,20250101,000067.65,00013.54,00013.54
00707,G,20250101,000711.75,00142.36,00142.36
00708,G,20250101,000178.85,00035.77,00035.77
00709,G,20250101,003710.00,00000.00,00000.00
00710,G,20250101,000442.00,00088.41,00088.41
00711,K,20250101,000051.83,00010.37,00010.37
00713,G,20250101,012007.81,02401.57,02401.57
00715,G,20250101,000223.55,00044.71,00044.71
00716,G,20250101,000996.96,00199.40,00199.40
00717,G,20250101,063354.77,12670.96,12670.96
00718,K,20250101,000259.70,00051.94,00051.94
00720,G,20250101,002701.04,00540.21,00540.21
00721,G,20250101,000022.80,00004.56,00004.56
00722,K,20250101,000000.78,00000.16,00000.16
00723,K,20250101,000033.13,00006.63,00006.63
00725,G,20250101,000017.54,00003.51,00003.51
00726,K,20250101,000087.49,00017.50,00017.50
00727,G,20250101,000034.60,00006.92,00006.92
00728,G,20250101,000039.54,00007.91,00007.91
00729,G,20250101,000025.22,00005.05,00005.05
00730,G,20250101,000773.80,00154.76,00154.76
00731,K,20250101,000060.28,00012.06,00012.06
00732,G,20250101,000429.16,00085.84,00085.84
00733,G,20250101,001716.62,00343.33,00343.33
00734,K,20250101,000003.75,00000.75,00000.75
00735,K,20250101,000005.14,00001.03,00001.03
00736,K,20250101,000023.33,00004.67,00004.67
00737,G,20250101,000088.06,00017.62,00017.62
00738,K,20250101,000371.29,00074.26,00074.26
00739,K,20250101,000013.03,00002.61,00002.61
00740,K,20250101,000005.03,00001.01,00001.01
00741,K,20250101,000000.93,00000.19,00000.19
00742,G,20250101,000058.34,00011.67,00011.67
00743,K,20250101,000001.01,00000.21,00000.21
00744,G,20250101,000008.58,00001.72,00001.72
00745,G,20250101,000038.87,00007.78,00007.78
00749,G,20250101,000197.16,00039.44,00039.44
00750,K,20250101,000002.17,00000.44,00000.44
00752,K,20250101,000282.13,00056.43,00056.43
00753,K,20250101,000001.04,00000.21,00000.21
00754,K,20250101,000000.04,00000.01,00000.01
00755,K,20250101,000019.36,00003.88,00003.88
00756,K,20250101,000020.71,00004.15,00004.15
00757,G,20250101,000050.99,00010.20,00010.20
00759,K,20250101,000004.12,00000.83,00000.83
00760,G,20250101,000328.60,00000.00,00000.00
00761,G,20250101,000003.14,00000.63,00000.63
00762,K1,20250101,000000.85,00000.18,00000.18
00763,K1,20250101,000001.45,00000.30,00000.30
00764,K1,20250101,000000.68,00000.14,00000.14
00765,G,20250101,000004.09,00000.82,00000.82
00766,K,20250101,000802.34,00160.47,00160.47
00767,G,20250101,000092.19,00018.44,00018.44
00768,G,20250101,001545.00,00309.00,00309.00
00769,K,20250101,000798.02,00159.61,00159.61
00770,K,20250101,000772.64,00154.53,00154.53
00771,K,20250101,000715.29,00143.06,00143.06
00772,G,20250101,000037.51,00000.00,00000.00
00774,K,20250101,000683.80,00136.76,00136.76
00775,K,20250101,000809.51,00161.91,00161.91
00776,K,20250101,001040.32,00208.07,00208.07
00777,K,20250101,001031.39,00206.28,00206.28
00778,G,20250101,000003.77,00000.76,00000.76
00779,K,20250101,001914.61,00382.93,00382.93
00780,K,20250101,002074.81,00414.97,00414.97
00781,K,20250101,001388.02,00277.61,00277.61
00782,G,20250101,000082.30,00016.46,00016.46
00784,G,20250101,000005.04,00001.01,00001.01
00785,K,20250101,000004.34,00000.87,00000.87
00786,G,20250101,000005.72,00001.15,00001.15
00788,K,20250101,000000.98,00000.20,00000.20
00789,K,20250101,000000.04,00000.01,00000.01
00790,K,20250101,000000.12,00000.03,00000.03
00791,K,20250101,000000.09,00000.02,00000.02
00792,K,20250101,000000.51,00000.11,00000.11
00793,K,20250101,000001.80,00000.37,00000.37
00794,K,20250101,000000.62,00000.13,00000.13
00795,K,20250101,000000.00,00000.01,00000.01
00796,K,20250101,000001.62,00000.33,00000.33
00797,K,20250101,000000.15,00000.04,00000.04
00798,K,20250101,000001.41,00000.29,00000.29
00799,K,20250101,000007.35,00001.47,00001.47
00800,K,20250101,001617.65,00323.53,00323.53
00801,K,20250101,000000.30,00000.07,00000.07
00803,K,20250101,000000.01,00000.01,00000.01
00804,K,20250101,000000.06,00000.02,00000.02
00805,K,20250101,000006.81,00000.00,00000.00
00806,K,20250101,000004.87,00000.00,00000.00
00807,K,20250101,005301.26,01060.26,01060.26
00808,K,20250101,000077.82,00000.00,00000.00
00810,K,20250101,000674.77,00134.96,00134.96
00811,G,20250101,000000.54,00000.11,00000.11
00812,K,20250101,000330.87,00066.18,00066.18
00813,G,20250101,000054.15,00010.84,00010.84
00814,G,20250101,001137.96,00227.60,00227.60
00815,G,20250101,000059.74,00011.95,00011.95
