county,adjustmentFactor,effectiveDate
01003,0.0110,20250101
01013,0.0336,20250101
01017,0.0110,20250101
01019,0.1017,20250101
01021,0.0017,20250101
01043,0.0583,20250101
01047,0.0113,20250101
01055,0.0036,20250101
01057,0.0904,20250101
01071,0.0600,20250101
01077,0.0089,20250101
01081,0.0315,20250101
01109,0.0080,20250101
01123,0.0092,20250101
01127,0.0263,20250101
05001,0.0037,20250101
05059,0.0861,20250101
05069,0.0127,20250101
06001,0.0160,20250101
06005,0.1084,20250101
06041,0.0452,20250101
06055,0.0959,20250101
06057,0.0971,20250101
06077,0.0535,20250101
06081,0.0106,20250101
06087,0.0327,20250101
06097,0.0176,20250101
06099,0.0477,20250101
06101,0.0133,20250101
06103,0.0115,20250101
06115,0.0284,20250101
10005,0.0103,20250101
12107,0.0176,20250101
13009,0.0055,20250101
13039,0.1111,20250101
13097,0.0058,20250101
13129,0.0366,20250101
13139,0.0084,20250101
13187,0.0564,20250101
13285,0.0392,20250101
13293,0.0631,20250101
16055,0.0290,20250101
16069,0.0324,20250101
17097,0.0129,20250101
17105,0.0109,20250101
17177,0.0454,20250101
18035,0.0026,20250101
18065,0.0611,20250101
18069,0.0500,20250101
18091,0.0037,20250101
18099,0.0588,20250101
18107,0.0329,20250101
18113,0.0170,20250101
19113,0.0091,20250101
19157,0.0145,20250101
20045,0.0097,20250101
20059,0.0395,20250101
21009,0.0119,20250101
21021,0.0164,20250101
21073,0.0490,20250101
21093,0.0051,20250101
21101,0.0999,20250101
21151,0.0406,20250101
21173,0.0572,20250101
21179,0.0388,20250101
22009,0.0569,20250101
22021,0.0082,20250101
22061,0.0114,20250101
22103,0.0043,20250101
22105,0.0144,20250101
22117,0.0020,20250101
23001,0.0156,20250101
23009,0.0101,20250101
24027,0.0174,20250101
24029,0.0583,20250101
24031,0.0898,20250101
24037,0.0256,20250101
24041,0.0316,20250101
24043,0.0189,20250101
26017,0.0022,20250101
26021,0.0244,20250101
26025,0.0009,20250101
26075,0.0509,20250101
26091,0.0956,20250101
26093,0.0035,20250101
26107,0.0170,20250101
26115,0.0623,20250101
26149,0.0139,20250101
26163,0.0007,20250101
27049,0.0969,20250101
27085,0.0109,20250101
27091,0.0061,20250101
27131,0.0634,20250101
27147,0.0455,20250101
28001,0.0178,20250101
28027,0.0140,20250101
28141,0.0051,20250101
28149,0.0112,20250101
29007,0.0178,20250101
29097,0.0024,20250101
29127,0.0680,20250101
29187,0.0183,20250101
31053,0.0232,20250101
32510,0.0049,20250101
33011,0.0403,20250101
33015,0.0737,20250101
34013,0.0484,20250101
34023,0.0249,20250101
34025,0.0233,20250101
34027,0.0252,20250101
35028,0.0550,20250101
35039,0.0300,20250101
36011,0.0471,20250101
36027,0.0326,20250101
36105,0.1191,20250101
36111,0.0826,20250101
37035,0.0067,20250101
37045,0.0289,20250101
37061,0.0308,20250101
37081,0.0097,20250101
37091,0.0035,20250101
37105,0.0349,20250101
37107,0.0287,20250101
37117,0.0568,20250101
37125,0.0055,20250101
37155,0.0078,20250101
37183,0.0013,20250101
37193,0.0072,20250101
37195,0.0282,20250101
39005,0.0387,20250101
39009,0.0137,20250101
39011,0.0295,20250101
39037,0.0211,20250101
39043,0.0021,20250101
39081,0.0092,20250101
39083,0.0465,20250101
39091,0.0186,20250101
39101,0.0196,20250101
39119,0.0160,20250101
39143,0.0068,20250101
39149,0.0195,20250101
39153,0.0029,20250101
39155,0.0076,20250101
39161,0.0192,20250101
39169,0.0117,20250101
40013,0.0259,20250101
40115,0.0050,20250101
40125,0.0343,20250101
40137,0.0010,20250101
41043,0.0184,20250101
42011,0.0066,20250101
42015,0.0452,20250101
42021,0.0008,20250101
42029,0.0357,20250101
42089,0.0961,20250101
42091,0.0467,20250101
42107,0.0167,20250101
42127,0.0385,20250101
42133,0.0038,20250101
45021,0.0251,20250101
45025,0.0202,20250101
45027,0.0251,20250101
45029,0.0208,20250101
45045,0.0039,20250101
45053,0.0034,20250101
45059,0.0009,20250101
45073,0.0107,20250101
45087,0.0146,20250101
47003,0.0541,20250101
47011,0.0494,20250101
47031,0.0155,20250101
47041,0.0262,20250101
47055,0.0535,20250101
47059,0.0022,20250101
47069,0.0354,20250101
47099,0.0882,20250101
47107,0.0059,20250101
47125,0.0413,20250101
47141,0.0141,20250101
47177,0.0251,20250101
47179,0.0011,20250101
47185,0.0020,20250101
48053,0.0139,20250101
48075,0.0172,20250101
48097,0.0447,20250101
48181,0.0055,20250101
48187,0.0094,20250101
48221,0.0296,20250101
48223,0.0135,20250101
48241,0.0075,20250101
48249,0.0116,20250101
48273,0.0304,20250101
48321,0.0142,20250101
48329,0.0029,20250101
48349,0.0365,20250101
48373,0.0141,20250101
48439,0.0027,20250101
48471,0.0363,20250101
49021,0.0019,20250101
51015,0.0020,20250101
51059,0.0477,20250101
51117,0.0028,20250101
51121,0.0040,20250101
51510,0.0808,20250101
51610,0.0610,20250101
51840,0.0115,20250101
53041,0.0076,20250101
53057,0.0163,20250101
53061,0.0399,20250101
53067,0.0135,20250101
54003,0.0239,20250101
54025,0.0237,20250101
54049,0.0233,20250101
54079,0.0140,20250101
54107,0.0231,20250101
55039,0.0066,20250101
55059,0.0444,20250101
55071,0.0026,20250101
55075,0.0074,20250101
55087,0.0052,20250101
55105,0.0081,20250101
55111,0.0267,20250101
55117,0.0038,20250101
55127,0.0594,20250101
55139,0.0064,20250101
72013,0.0023,20250101
72057,0.0001,20250101
72081,0.0056,20250101
72141,0.0021,20250101
