region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,410.87,484.83,402.83,475.34
RURAL,B,310.68,366.60,304.61,359.44
RURAL,C,296.52,349.89,290.71,343.04
RURAL,D,242.88,286.60,238.13,280.99
RURAL,E,201.39,237.64,197.45,232.99
RURAL,F,226.69,267.49,222.25,262.26
RURAL,G,188.23,222.11,184.55,217.77
RURAL,H,210.50,248.39,206.38,243.53
RURAL,I,175.08,206.59,171.65,202.55
RURAL,J,174.06,205.39,170.66,201.38
RURAL,K,144.72,170.77,141.88,167.42
RURAL,L,189.24,223.30,185.54,218.94
RURAL,M,163.94,193.45,160.74,189.67
RURAL,N,156.86,185.09,153.79,181.47
RURAL,O,110.31,130.17,108.15,127.62
RURAL,P,135.61,160.02,132.95,156.88
RURAL,Q,95.13,112.25,93.27,110.06
RURAL,R,105.25,124.20,103.19,121.76
RURAL,S,100.19,118.22,98.23,115.91
RURAL,T,158.88,187.48,155.78,183.82
RURAL,U,148.76,175.54,145.85,172.10
RURAL,V,123.46,145.68,121.05,142.84
RURAL,W,71.85,84.78,70.45,83.13
RURAL,X,114.36,134.94,112.12,132.30
RURAL,Y,66.79,78.81,65.49,77.28
URBAN,A,430.04,507.45,421.67,497.57
URBAN,B,325.17,383.70,318.85,376.24
URBAN,C,310.35,366.21,304.31,359.09
URBAN,D,254.21,299.97,249.26,294.13
URBAN,E,210.78,248.72,206.68,243.88
URBAN,F,237.26,279.97,232.65,274.53
URBAN,G,197.01,232.47,193.18,227.95
URBAN,H,220.31,259.97,216.03,254.92
URBAN,I,183.24,216.22,179.68,212.02
URBAN,J,182.18,214.97,178.64,210.80
URBAN,K,151.47,178.73,148.52,175.25
URBAN,L,198.07,233.72,194.22,229.18
URBAN,M,171.59,202.48,168.25,198.54
URBAN,N,164.18,193.73,160.98,189.96
URBAN,O,115.45,136.23,113.21,133.59
URBAN,P,141.93,167.48,139.17,164.22
URBAN,Q,99.56,117.48,97.63,115.20
URBAN,R,110.16,129.99,108.01,127.45
URBAN,S,104.86,123.73,102.82,121.33
URBAN,T,166.29,196.22,163.06,192.41
URBAN,U,155.70,183.73,152.67,180.15
URBAN,V,129.22,152.48,126.71,149.52
URBAN,W,75.20,88.74,73.74,87.01
URBAN,X,119.69,141.23,117.36,138.48
URBAN,Y,69.91,82.49,68.55,80.89
