region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,116.13,113.94,103.72,101.76
RURAL,B,128.94,126.51,113.28,111.14
RURAL,C,142.56,139.87,117.70,115.47
RURAL,D,144.96,142.23,106.66,104.65
RURAL,E,107.32,105.30,97.83,95.99
RURAL,F,121.74,119.44,111.08,108.98
RURAL,G,126.54,124.16,114.02,111.86
RURAL,H,88.10,86.44,80.18,78.67
RURAL,I,85.70,84.08,82.39,80.83
RURAL,J,107.32,105.30,100.78,98.87
RURAL,K,115.33,113.16,107.40,105.37
RURAL,L,82.49,80.94,77.24,75.78
RURAL,M,96.11,94.30,90.48,88.77
RURAL,N,112.13,110.01,104.46,102.48
RURAL,O,117.73,115.51,108.13,106.09
RURAL,P,81.69,80.15,75.77,74.34
URBAN,A,101.88,99.96,92.21,90.48
URBAN,B,113.12,110.99,100.72,98.82
URBAN,C,125.06,122.71,104.64,102.67
URBAN,D,127.17,124.78,94.83,93.05
URBAN,E,94.15,92.38,86.98,85.35
URBAN,F,106.80,104.79,98.75,96.90
URBAN,G,111.01,108.93,101.37,99.46
URBAN,H,77.29,75.83,71.29,69.95
URBAN,I,75.18,73.77,73.25,71.87
URBAN,J,94.15,92.38,89.60,87.91
URBAN,K,101.17,99.27,95.48,93.69
URBAN,L,72.37,71.01,68.67,67.38
URBAN,M,84.31,82.73,80.44,78.93
URBAN,N,98.36,96.52,92.87,91.12
URBAN,O,103.28,101.34,96.14,94.33
URBAN,P,71.67,70.32,67.36,66.10
